Wavelength,Moon(W/m2/nm),Moon(uW/m2),,,
416,8.84E-07,8.84E-01,,,
417,8.91E-07,8.91E-01,,,
418,8.91E-07,8.91E-01,,,
419,8.91E-07,8.91E-01,,,
420,8.91E-07,8.91E-01,,,
421,8.76E-07,8.76E-01,,,
422,8.76E-07,8.76E-01,,,
423,8.84E-07,8.84E-01,,,
424,8.91E-07,8.91E-01,,,
425,8.91E-07,8.91E-01,,,
426,8.84E-07,8.84E-01,,,
427,8.68E-07,8.68E-01,,,
428,8.45E-07,8.45E-01,,,
429,8.22E-07,8.22E-01,,,
430,8.22E-07,8.22E-01,,,
431,8.60E-07,8.60E-01,,,
432,9.15E-07,9.15E-01,,,
433,9.61E-07,9.61E-01,,,
434,9.92E-07,9.92E-01,,,
435,1.02E-06,1.02E+00,,,
436,1.03E-06,1.03E+00,,,
437,1.03E-06,1.03E+00,,,
438,1.04E-06,1.04E+00,,,
439,1.07E-06,1.07E+00,,,
440,1.09E-06,1.09E+00,,,
441,1.13E-06,1.13E+00,,,
442,1.16E-06,1.16E+00,,,
443,1.19E-06,1.19E+00,,,
444,1.20E-06,1.20E+00,,,
445,1.22E-06,1.22E+00,,,
446,1.23E-06,1.23E+00,,,
447,1.26E-06,1.26E+00,,,
448,1.30E-06,1.30E+00,,,
449,1.34E-06,1.34E+00,,,
450,1.36E-06,1.36E+00,,,
451,1.37E-06,1.37E+00,,,
452,1.36E-06,1.36E+00,,,
453,1.36E-06,1.36E+00,,,
454,1.38E-06,1.38E+00,,,
455,1.40E-06,1.40E+00,,,
456,1.41E-06,1.41E+00,,,
457,1.43E-06,1.43E+00,,,
458,1.44E-06,1.44E+00,,,
459,1.45E-06,1.45E+00,,,
460,1.47E-06,1.47E+00,,,
461,1.49E-06,1.49E+00,,,
462,1.50E-06,1.50E+00,,,
463,1.50E-06,1.50E+00,,,
464,1.50E-06,1.50E+00,,,
465,1.50E-06,1.50E+00,,,
466,1.50E-06,1.50E+00,,,
467,1.50E-06,1.50E+00,,,
468,1.51E-06,1.51E+00,,,
469,1.52E-06,1.52E+00,,,
470,1.53E-06,1.53E+00,,,
471,1.55E-06,1.55E+00,,,
472,1.57E-06,1.57E+00,,,
473,1.57E-06,1.57E+00,,,
474,1.58E-06,1.58E+00,,,
475,1.60E-06,1.60E+00,,,
476,1.60E-06,1.60E+00,,,
477,1.63E-06,1.63E+00,,,
478,1.64E-06,1.64E+00,,,
479,1.65E-06,1.65E+00,,,
480,1.67E-06,1.67E+00,,,
481,1.68E-06,1.68E+00,,,
482,1.68E-06,1.68E+00,,,
483,1.66E-06,1.66E+00,,,
484,1.62E-06,1.62E+00,,,
485,1.59E-06,1.59E+00,,,
486,1.57E-06,1.57E+00,,,
487,1.58E-06,1.58E+00,,,
488,1.61E-06,1.61E+00,,,
489,1.64E-06,1.64E+00,,,
490,1.67E-06,1.67E+00,,,
491,1.68E-06,1.68E+00,,,
492,1.69E-06,1.69E+00,,,
493,1.71E-06,1.71E+00,,,
494,1.74E-06,1.74E+00,,,
495,1.74E-06,1.74E+00,,,
496,1.75E-06,1.75E+00,,,
497,1.74E-06,1.74E+00,,,
498,1.74E-06,1.74E+00,,,
499,1.73E-06,1.73E+00,,,
500,1.71E-06,1.71E+00,,,
501,1.71E-06,1.71E+00,,,
502,1.71E-06,1.71E+00,,,
503,1.72E-06,1.72E+00,,,
504,1.74E-06,1.74E+00,,,
505,1.76E-06,1.76E+00,,,
506,1.78E-06,1.78E+00,,,
507,1.78E-06,1.78E+00,,,
508,1.78E-06,1.78E+00,,,
509,1.80E-06,1.80E+00,,,
510,1.80E-06,1.80E+00,,,
511,1.80E-06,1.80E+00,,,
512,1.80E-06,1.80E+00,,,
513,1.78E-06,1.78E+00,,,
514,1.76E-06,1.76E+00,,,
515,1.72E-06,1.72E+00,,,
516,1.70E-06,1.70E+00,,,
517,1.68E-06,1.68E+00,,,
518,1.69E-06,1.69E+00,,,
519,1.72E-06,1.72E+00,,,
520,1.75E-06,1.75E+00,,,
521,1.78E-06,1.78E+00,,,
522,1.81E-06,1.81E+00,,,
523,1.82E-06,1.82E+00,,,
524,1.82E-06,1.82E+00,,,
525,1.81E-06,1.81E+00,,,
526,1.81E-06,1.81E+00,,,
527,1.81E-06,1.81E+00,,,
528,1.83E-06,1.83E+00,,,
529,1.85E-06,1.85E+00,,,
530,1.87E-06,1.87E+00,,,
531,1.88E-06,1.88E+00,,,
532,1.87E-06,1.87E+00,,,
533,1.88E-06,1.88E+00,,,
534,1.88E-06,1.88E+00,,,
535,1.90E-06,1.90E+00,,,
536,1.91E-06,1.91E+00,,,
537,1.90E-06,1.90E+00,,,
538,1.89E-06,1.89E+00,,,
539,1.88E-06,1.88E+00,,,
540,1.88E-06,1.88E+00,,,
541,1.88E-06,1.88E+00,,,
542,1.88E-06,1.88E+00,,,
543,1.90E-06,1.90E+00,,,
544,1.91E-06,1.91E+00,,,
545,1.92E-06,1.92E+00,,,
546,1.92E-06,1.92E+00,,,
547,1.93E-06,1.93E+00,,,
548,1.93E-06,1.93E+00,,,
549,1.93E-06,1.93E+00,,,
550,1.94E-06,1.94E+00,,,
551,1.95E-06,1.95E+00,,,
552,1.95E-06,1.95E+00,,,
553,1.95E-06,1.95E+00,,,
554,1.95E-06,1.95E+00,,,
555,1.95E-06,1.95E+00,,,
556,1.93E-06,1.93E+00,,,
557,1.91E-06,1.91E+00,,,
558,1.91E-06,1.91E+00,,,
559,1.91E-06,1.91E+00,,,
560,1.91E-06,1.91E+00,,,
561,1.91E-06,1.91E+00,,,
562,1.92E-06,1.92E+00,,,
563,1.91E-06,1.91E+00,,,
564,1.91E-06,1.91E+00,,,
565,1.91E-06,1.91E+00,,,
566,1.91E-06,1.91E+00,,,
567,1.90E-06,1.90E+00,,,
568,1.89E-06,1.89E+00,,,
569,1.88E-06,1.88E+00,,,
570,1.88E-06,1.88E+00,,,
571,1.88E-06,1.88E+00,,,
572,1.89E-06,1.89E+00,,,
573,1.90E-06,1.90E+00,,,
574,1.90E-06,1.90E+00,,,
575,1.89E-06,1.89E+00,,,
576,1.89E-06,1.89E+00,,,
577,1.89E-06,1.89E+00,,,
578,1.90E-06,1.90E+00,,,
579,1.91E-06,1.91E+00,,,
580,1.94E-06,1.94E+00,,,
581,1.96E-06,1.96E+00,,,
582,1.98E-06,1.98E+00,,,
583,1.98E-06,1.98E+00,,,
584,1.98E-06,1.98E+00,,,
585,1.98E-06,1.98E+00,,,
586,1.96E-06,1.96E+00,,,
587,1.93E-06,1.93E+00,,,
588,1.91E-06,1.91E+00,,,
589,1.89E-06,1.89E+00,,,
590,1.89E-06,1.89E+00,,,
591,1.91E-06,1.91E+00,,,
592,1.93E-06,1.93E+00,,,
593,1.94E-06,1.94E+00,,,
594,1.95E-06,1.95E+00,,,
595,1.95E-06,1.95E+00,,,
596,1.95E-06,1.95E+00,,,
597,1.95E-06,1.95E+00,,,
598,1.94E-06,1.94E+00,,,
599,1.94E-06,1.94E+00,,,
600,1.94E-06,1.94E+00,,,
601,1.93E-06,1.93E+00,,,
602,1.94E-06,1.94E+00,,,
603,1.95E-06,1.95E+00,,,
604,1.96E-06,1.96E+00,,,
605,1.97E-06,1.97E+00,,,
606,1.97E-06,1.97E+00,,,
607,1.97E-06,1.97E+00,,,
608,1.96E-06,1.96E+00,,,
609,1.95E-06,1.95E+00,,,
610,1.95E-06,1.95E+00,,,
611,1.95E-06,1.95E+00,,,
612,1.95E-06,1.95E+00,,,
613,1.95E-06,1.95E+00,,,
614,1.94E-06,1.94E+00,,,
615,1.93E-06,1.93E+00,,,
616,1.93E-06,1.93E+00,,,
617,1.94E-06,1.94E+00,,,
618,1.95E-06,1.95E+00,,,
619,1.97E-06,1.97E+00,,,
620,1.97E-06,1.97E+00,,,
621,1.97E-06,1.97E+00,,,
622,1.96E-06,1.96E+00,,,
623,1.95E-06,1.95E+00,,,
624,1.94E-06,1.94E+00,,,
625,1.92E-06,1.92E+00,,,
626,1.91E-06,1.91E+00,,,
627,1.90E-06,1.90E+00,,,
628,1.89E-06,1.89E+00,,,
629,1.89E-06,1.89E+00,,,
630,1.89E-06,1.89E+00,,,
631,1.90E-06,1.90E+00,,,
632,1.91E-06,1.91E+00,,,
633,1.93E-06,1.93E+00,,,
634,1.95E-06,1.95E+00,,,
635,1.96E-06,1.96E+00,,,
636,1.98E-06,1.98E+00,,,
637,1.98E-06,1.98E+00,,,
638,1.99E-06,1.99E+00,,,
639,1.98E-06,1.98E+00,,,
640,1.98E-06,1.98E+00,,,
641,1.98E-06,1.98E+00,,,
642,1.98E-06,1.98E+00,,,
643,1.98E-06,1.98E+00,,,
644,1.98E-06,1.98E+00,,,
645,1.98E-06,1.98E+00,,,
646,1.97E-06,1.97E+00,,,
647,1.95E-06,1.95E+00,,,
648,1.95E-06,1.95E+00,,,
649,1.95E-06,1.95E+00,,,
650,1.95E-06,1.95E+00,,,
651,1.96E-06,1.96E+00,,,
652,1.97E-06,1.97E+00,,,
653,1.95E-06,1.95E+00,,,
654,1.90E-06,1.90E+00,,,
655,1.86E-06,1.86E+00,,,
656,1.84E-06,1.84E+00,,,
657,1.87E-06,1.87E+00,,,
658,1.91E-06,1.91E+00,,,
659,1.95E-06,1.95E+00,,,
660,1.98E-06,1.98E+00,,,
661,2.00E-06,2.00E+00,,,
662,2.00E-06,2.00E+00,,,
663,2.00E-06,2.00E+00,,,
664,2.01E-06,2.01E+00,,,
665,2.01E-06,2.01E+00,,,
666,2.01E-06,2.01E+00,,,
667,2.01E-06,2.01E+00,,,
668,2.01E-06,2.01E+00,,,
669,2.01E-06,2.01E+00,,,
670,2.00E-06,2.00E+00,,,
671,2.00E-06,2.00E+00,,,
672,2.00E-06,2.00E+00,,,
673,2.00E-06,2.00E+00,,,
674,2.00E-06,2.00E+00,,,
675,2.00E-06,2.00E+00,,,
676,2.00E-06,2.00E+00,,,
677,2.01E-06,2.01E+00,,,
678,2.00E-06,2.00E+00,,,
679,2.00E-06,2.00E+00,,,
680,2.00E-06,2.00E+00,,,
681,1.99E-06,1.99E+00,,,
682,1.98E-06,1.98E+00,,,
683,1.98E-06,1.98E+00,,,
684,1.93E-06,1.93E+00,,,
685,1.83E-06,1.83E+00,,,
686,1.70E-06,1.70E+00,,,
687,1.58E-06,1.58E+00,,,
688,1.56E-06,1.56E+00,,,
689,1.60E-06,1.60E+00,,,
690,1.67E-06,1.67E+00,,,
691,1.74E-06,1.74E+00,,,
692,1.78E-06,1.78E+00,,,
693,1.81E-06,1.81E+00,,,
694,1.83E-06,1.83E+00,,,
