Name,Lon,Lat,Source,M2_amp,M2_phs,S2_amp,S2_phs,N2_amp,N2_phs,K2_amp,K2_phs,K1_amp,K1_phs,O1_amp,O1_phs,P1_amp,P1_phs,Q1_amp,Q1_phs
Tongyeong,128.4355278,34.8274649,KHAO,0.755,351.633,0.35,17.778,0.152,346.086,0.098,9.477,0.146,44.891,0.098,22.169,0.048,42.773,0.019,8.997
Ulsan,129.3879209,35.5006008,KHAO,0.156,311.64,0.074,344.153,0.028,304.528,0.021,334.913,0.032,274.553,0.029,221.063,0.008,277.385,0.007,191.754
Wando,126.7586305,34.3175037,KHAO,1.028,35.795,0.442,59.696,0.218,26.809,0.12,53.261,0.267,70.383,0.197,46.745,0.085,65.404,0.039,30.59
Wido,126.3021884,35.6186108,KHAO,1.963,174.878,0.748,217.733,0.369,157.695,0.209,213.793,0.331,140.731,0.257,113.227,0.101,134.664,0.051,92.714
Yeongheung Island,126.4283442,37.2376442,KHAO,2.624,224.676,1.044,272.093,0.475,209.894,0.288,267.2,0.385,166.074,0.286,136.658,0.112,160.723,0.054,115.342
Yeongjong bridge,126.5850681,37.5453809,KHAO,2.894,232.575,1.15,281.588,0.518,218.25,0.316,276.866,0.39,169.841,0.287,140.736,0.112,164.9,0.055,119.785
Yeosu,127.764999,34.7471904,KHAO,0.94,358.969,0.434,25.235,0.19,352.812,0.12,17.533,0.188,47.901,0.129,23.895,0.06,44.062,0.025,8.834
"'Apra Harbor, Guam, United States of America'",144.6557315,13.4438226,NOAA,0.232,290.9,0.059,311.1,0.048,276.3,0.016,308.5,0.173,65.1,0.122,44.2,0.056,64.2,0.025,34.2
"'Diego Garcia, United Kingdom'",72.3933,-7.29,NOAA,0.494,263.4,0.284,293.9,0.089,260.1,0.079,288,0.035,64.9,0.041,71.3,0.012,47.1,0.01,40.6
"'Saipan,'",145.7370054,15.2271555,NOAA,0.188,296.2,0.043,305.3,0.046,278.9,0.015,300.7,0.167,64.9,0.113,45.6,0.061,66.7,0.025,33.3
"'Wake Island, Pacific Ocean,'",166.6133943,19.2887152,NOAA,0.288,115.1,0.146,150.1,0.048,106.4,0.042,144,0.063,45.1,0.051,14.7,0.02,43.6,0.013,3.9
AJERBANGIS,99.3728183,0.1990559,ST727,0.27,322.211,0.15,17.2,0.05,298.222,0.04,359.225,0.15,168.613,0.05,146.599,0.06,171.587,NaN,NaN
AMOY,118.167,24.383,ST727,1.867,124.627,0.408,180.7,0.236,95.682,0.111,184.643,0.265,155.872,0.195,133.856,0.088,153.828,0.038,122.811
ANDROSSAN,137.9270851,-34.4392295,ST727,0.625,189.851,0.634,248.7,0.033,298.023,0.186,248.52,0.266,263.71,0.183,246.841,0.071,257.49,0.042,236.413
AO KAULAK,98.2207747,8.5760247,ST727,0.719,88.111,0.351,124,0.165,80.922,0.094,123.425,0.116,224.713,0.061,178.399,0.04,225.287,NaN,NaN
BAIE LEBIAJA,136.7829645,54.9018507,ST727,1.814,177.443,0.664,225.5,0.363,177.442,0.183,225.461,0.61,111.23,0.521,85.213,0.204,111.27,0.105,85.212
BAIE UDSKI,135.3143338,54.7228332,ST727,0.975,190.443,0.488,202.4,0.183,190.442,0.122,202.361,0.274,99.73,0.244,91.713,0.091,99.67,0.061,91.712
BANDAR ABBAS,56.2819701,27.1697143,ST727,1,196.556,0.36,229,0.219,180.461,0.104,226.713,0.338,11.356,0.207,3.199,0.11,9.644,NaN,NaN
BAROES,98.35,2.017,ST727,0.25,330.303,0.16,3.3,0.05,325.342,0.04,12.266,0.12,182.633,0.06,147.67,0.05,170.667,NaN,NaN
BASSEIN,72.7948126,19.309275,ST727,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.476,344.795,0.21,340.285,0.159,345.205,NaN,NaN
BAUDIN ISLAND,125.6,-14.133,ST727,1.728,66.427,1.088,126.1,0.238,41.482,0.293,125.443,0.308,179.471,0.204,178.556,0.101,180.128,NaN,NaN
BAZARUTO,35.433,-21.65,ST727,1.15,51.032,0.72,100,0.19,32.121,0.19,99.836,0.02,91.918,0.03,356.114,0.01,92.082,NaN,NaN
BEACHPORT,140.0213359,-37.4869541,ST727,0.121,66.251,0.13,123.6,0.001,55.323,0.033,110.32,0.166,255.01,0.116,241.041,0.053,256.29,0.027,230.813
BENKOELEN,102.2546,-3.7843489,ST727,0.32,355.511,0.14,32.5,NaN,NaN,0.05,32.525,0.11,177.713,0.1,161.799,0.04,177.787,NaN,NaN
BRIGHTON,138.5155784,-35.0350645,ST727,0.441,188.451,0.432,249.4,0.026,280.523,0.128,249.52,0.244,266.21,0.163,247.641,0.072,261.99,0.041,234.013
CALICUTT,75.7591036,11.2636371,ST727,0.317,163.587,0.104,217,0.064,139.581,0.027,216.548,0.162,326.274,0.104,342.313,0.052,326.726,NaN,NaN
CALOUNDRA HEADS,153.1525749,-26.8009959,ST727,0.532,303.659,0.162,53.7,0.115,294.103,0.042,305.679,0.193,2.189,0.106,336.77,0.054,355.511,0.024,311.613
CAP ASTRONOMICHESKI,164.4814579,62.4160811,ST727,1.329,260.975,0.256,309,0.265,260.963,0.067,308.996,2.521,167.548,1.549,134.527,0.841,167.452,0.323,134.515
CAP CHIKHACHEVA,141.217,51.783,ST727,0.76,11.543,0.29,45.6,NaN,NaN,NaN,NaN,0.07,217.83,0.05,189.813,NaN,NaN,NaN,NaN
CAP MATOUGA,160.25,61.683,ST727,0.881,79.475,0.296,132.5,0.082,51.463,0.079,132.496,1.972,81.748,1.085,55.727,0.658,81.752,0.216,55.715
CASTLE PEAK BAY,113.9800034,22.3727149,ST727,0.48,55.127,0.17,88,0.13,42.482,0.05,87.343,0.42,191.672,0.29,132.456,0.14,192.328,0.08,158.811
CHEUSHI ISLAND,141.4317983,53.2950059,ST727,0.25,281.143,0.05,336.1,NaN,NaN,NaN,NaN,0.39,161.53,0.34,110.613,NaN,NaN,NaN,NaN
CHILOANE,34.883,-20.617,ST727,1.7,55.032,0.94,96,0.39,34.121,0.25,95.836,0.05,147.918,0.04,304.114,0.02,148.082,NaN,NaN
CHISIMAIO,42.5412131,-0.3866655,ST727,0.722,24.948,0.406,66.9,NaN,NaN,0.109,66.854,0.187,357.477,0.113,340.471,0.062,357.423,NaN,NaN
COCANADA,82.278882,16.9526847,ST727,0.461,88.487,0.195,121.5,0.097,80.481,0.052,119.548,0.106,256.774,0.042,250.713,0.029,260.726,0.002,323.707
COFFS HARBOUR,153.1445124,-30.3057802,ST727,0.527,299.759,0.148,313.9,0.105,291.403,0.044,302.679,0.176,341.789,0.098,310.07,0.052,336.411,0.023,293.213
CUDDALORE,79.7858968,11.7065366,ST727,0.259,81.587,0.107,119,0.052,86.581,0.027,122.548,0.098,261.274,0.018,231.313,0.034,258.726,0.003,132.307
DIAMOND ISLAND BASSEIN RIVER,94.2720673,15.8661434,ST727,0.668,92.403,0.304,125.4,0.138,85.442,0.081,120.466,0.129,245.733,0.049,229.67,0.041,240.667,0.003,168.709
DURBAN,31.0488842,-29.8663929,ST727,0.525,43.432,0.283,75.4,0.1,37.021,0.084,72.336,0.049,147.418,0.014,298.414,0.015,145.682,0.011,281.303
"EAST POINT, BYNOE HARBOUR",130.5642105,-12.5820157,ST727,1.719,244.851,0.899,292.9,0.323,231.822,0.244,291.82,0.619,191.41,0.311,182.441,0.207,191.39,NaN,NaN
ELEPHANT POINT,96.2854303,16.4853919,ST727,1.799,270.403,0.726,307.4,0.339,255.442,0.229,304.366,0.227,282.733,0.098,269.67,0.059,293.667,0.008,254.709
ENTREPOSTO DA MATOLA,32.5016522,-25.9624085,ST727,0.99,69.032,0.56,105,0.17,65.121,0.15,104.836,0.1,178.918,0.04,351.114,0.03,179.082,NaN,NaN
FALSE POINT,86.7872057,20.4043908,ST727,0.686,95.387,0.307,128.4,0.138,90.481,0.083,125.448,0.125,257.174,0.054,248.213,0.042,258.226,0.003,200.207
FRANKLIN HARBOUR,136.9360096,-33.6885739,ST727,0.224,198.151,0.231,248,0.02,310.722,0.067,245.02,0.299,277.91,0.203,261.141,0.08,275.89,0.041,248.913
GAUSS STATION,89.6176882,-66.0226189,ST727,0.23,199.725,0.12,281.7,0.059,157.77,0.035,268.691,0.194,277.346,0.208,270.379,0.064,258.354,0.058,263.324
GUNSAN KO,126.7242685,35.9879744,ST727,2.128,198.643,0.744,246.4,0.386,183.042,0.194,245.761,0.313,152.33,0.252,118.513,0.1,148.27,0.049,100.412
HAMAMASU,141.3808488,43.6021094,ST727,0.05,185.243,0.02,230.2,NaN,NaN,NaN,NaN,0.05,210.63,0.06,183.613,NaN,NaN,NaN,NaN
HANSTHAL POINT,70.3831306,22.911419,ST727,2.089,265.287,0.588,304.3,0.364,245.281,0.161,300.348,0.456,10.674,0.23,4.613,0.117,13.626,0.042,6.607
HOG BAY,137.9443781,-35.7177749,ST727,0.192,164.951,0.185,221.1,0.006,281.123,0.057,215.02,0.22,258.31,0.152,240.741,0.068,256.59,0.028,206.913
HONTO KO,141.8461376,46.6645262,ST727,0.051,276.943,0.02,284.7,0.014,263.042,0.005,279.961,0.062,204.73,0.07,181.713,0.022,198.97,0.015,161.312
HUKABORI,129.8186898,32.6844268,ST727,0.838,330.743,0.374,357,0.156,325.142,0.102,352.761,0.256,77.23,0.198,56.713,0.084,71.77,0.041,47.312
HUKURA URA (NARUTO),134.7183355,34.2544096,ST727,0.442,280.243,0.21,302.1,0.084,272.242,0.057,295.761,0.231,60.53,0.175,37.113,0.07,55.67,0.035,30.512
HUSAN KO,129.0332575,35.0841413,ST727,0.394,336.043,0.188,5,0.071,328.542,0.051,357.461,0.043,8.83,0.016,335.013,0.011,15.57,0.002,244.812
IDI,97.7837155,4.9650497,ST727,0.47,114.503,0.25,156.5,0.08,112.442,0.06,151.466,0.14,201.233,0.06,197.27,0.05,344.267,NaN,NaN
IWASAKI,139.9111151,40.5829511,ST727,0.054,182.043,0.022,216.5,0.013,162.442,0.007,207.761,0.052,214.73,0.052,189.613,0.018,207.47,0.01,173.112
KAIHYO TO,144.617,48.5,ST727,0.18,149.743,0.1,200.8,NaN,NaN,NaN,NaN,0.19,51.43,0.19,20.413,NaN,NaN,NaN,NaN
KARRAKATTA BAY,123.0405102,-16.3643441,ST727,2.24,103.827,1.283,161.1,0.375,85.382,0.347,160.443,0.241,189.672,0.186,171.156,0.079,190.328,NaN,NaN
KELVE (MAHIM),72.7268202,19.6174649,ST727,1.255,231.076,0.518,264.5,0.326,211.589,0.141,264.106,0.471,342.003,0.214,347.873,0.156,342.397,0.029,350.586
KHOR KAWI,56.3611636,26.3661156,ST727,0.689,193.064,0.253,227,0.174,172.241,0.067,226.671,0.262,9.836,0.158,11.228,0.085,10.164,NaN,NaN
KING SOUND,123.5991882,-17.28341,ST727,3.067,169.727,1.651,240.2,0.51,142.582,NaN,NaN,0.302,211.172,0.159,201.956,NaN,NaN,0.034,194.311
KINGSTON,139.8456227,-36.824687,ST727,0.144,62.351,0.166,117.5,0.008,197.623,0.05,112.72,0.186,257.51,0.128,236.541,0.054,256.49,0.023,221.913
KITA-NOBORIHO,142.567,48.1,ST727,0.2,165.843,0.1,215.9,NaN,NaN,NaN,NaN,0.17,61.43,0.17,33.413,NaN,NaN,NaN,NaN
KLEINE KAPOEAS RIVER,109.1738125,-0.0630409,ST727,0.16,284.719,0.09,299.7,0.03,265.702,NaN,NaN,0.39,18.892,0.32,318.827,0.1,21.908,NaN,NaN
KOTA AGOENG (SEMANGKA B.),104.6193566,-5.5012068,ST727,0.32,5.211,0.15,36.2,NaN,NaN,0.06,36.125,0.15,179.613,0.1,177.599,0.05,179.587,NaN,NaN
KUTEI RIVER (MUARA PEGAH),117.3042971,-0.8580466,ST727,0.51,281.416,0.4,334,0.03,287.39,0.11,333.4,0.21,161.2,0.15,146.216,0.07,161.8,NaN,NaN
LABOEAN BANGKAI,105.5127565,-5.9361983,ST727,0.29,7.011,0.16,82,NaN,NaN,0.07,82.025,0.12,165.513,0.04,131.499,0.04,165.487,NaN,NaN
LABUK BAY,117.7158842,6.2297987,ST727,0.448,85.127,0.244,122,0.101,78.482,0.067,121.343,0.351,207.672,0.354,166.456,0.116,208.328,0.067,151.811
LACROSSE ISLAND,128.3423611,-14.749253,ST727,1.747,283.727,0.759,328.2,0.317,267.582,0.204,327.543,0.54,205.471,0.347,191.656,0.177,206.128,NaN,NaN
LANKAYAN ISLAND,117.916013,6.5076324,ST727,0.334,78.127,0.183,107,0.049,70.482,0.049,106.343,0.334,201.672,0.304,166.456,0.11,202.328,NaN,NaN
LHO SEUMAWE,97.1490754,5.1949996,ST727,0.46,84.603,0.27,123.6,0.08,73.642,0.08,123.666,0.14,212.833,0.06,170.77,0.05,341.767,NaN,NaN
LINGA-LINGA,35.3963469,-23.7367272,ST727,0.76,62.032,0.44,107,0.18,61.121,0.12,106.836,0.02,126.918,0.01,286.114,0.01,127.082,NaN,NaN
LITTLE QUOIN ISLAND,56.5385227,26.4765801,ST727,0.768,185.064,0.274,221,0.171,169.241,0.073,220.671,0.287,359.836,0.204,355.228,0.095,0.164,NaN,NaN
MAKINO SIMA,129.0837206,35.0715779,ST727,0.4,333.943,0.18,6.9,NaN,NaN,NaN,NaN,0.04,357.93,0.02,329.913,NaN,NaN,NaN,NaN
MALINDI,40.1266264,-3.2145282,ST727,0.954,25.048,0.485,65,0.171,9.681,0.131,64.754,0.189,349.877,0.11,8.171,0.061,350.123,0.034,0.804
MAOKA KO (HONTOMARI),142.0404316,47.0530031,ST727,0.05,284.943,0.02,283,NaN,NaN,NaN,NaN,0.05,196.03,0.05,173.013,NaN,NaN,NaN,NaN
MASKAT,58.5966526,23.617,ST727,0.633,159.864,0.237,189.8,0.16,141.741,0.062,181.871,0.388,341.336,0.202,342.328,0.122,338.464,0.043,338.405
MERGUI,98.5901509,12.4431523,ST727,1.675,112.803,0.892,151.8,0.316,110.842,0.256,146.766,0.16,235.433,0.064,216.37,0.047,237.367,0.009,183.409
MESALE ISLAND,39.6,-5.233,ST727,1.116,25.048,0.564,66,0.201,3.681,0.152,65.754,0.226,351.877,0.104,358.171,0.076,352.123,NaN,NaN
MINABETU,143.6084059,46.395313,ST727,0.17,156.843,0.08,201.8,NaN,NaN,NaN,NaN,0.21,47.43,0.23,23.413,NaN,NaN,NaN,NaN
MINAMI-HUNAKOSI,144.667,48.7,ST727,0.2,148.643,0.09,196.7,NaN,NaN,NaN,NaN,0.17,50.33,0.18,28.313,NaN,NaN,NaN,NaN
MOGADISCIO,45.3498499,2.0300274,ST727,0.624,27.248,0.307,68.3,NaN,NaN,0.077,68.254,0.176,358.677,0.095,351.671,0.058,358.623,NaN,NaN
MOROZAKI,136.9785261,34.7014289,ST727,0.551,265.343,0.255,293.6,0.097,259.142,0.069,289.561,0.218,51.03,0.164,30.713,0.071,46.27,0.031,19.012
MURMAGAO,73.7942064,15.4200201,ST727,0.552,152.387,0.195,184.4,0.132,134.381,0.057,175.448,0.312,332.174,0.159,335.213,0.091,330.226,0.033,338.207
NAGASAKI,129.8684913,32.7380403,ST727,0.837,329.943,0.371,355.8,0.16,324.042,0.103,348.861,0.257,77.13,0.198,57.313,0.083,72.77,0.042,43.512
NAPIER BROOME BAY,126.583,-13.933,ST727,0.631,37.127,0.479,119.4,0.14,49.282,0.128,118.743,0.387,200.372,0.296,182.356,0.128,201.029,NaN,NaN
NAVINAR POINT,69.772576,22.7530639,ST727,1.842,244.387,0.577,275.4,0.385,231.381,0.113,283.448,0.466,353.174,0.208,356.213,0.086,2.226,0.045,359.207
NAYOSI,142.117,49.45,ST727,0.29,344.743,0.1,14.8,NaN,NaN,NaN,NaN,0.06,198.93,0.05,169.913,NaN,NaN,NaN,NaN
NEGAPATAM,79.8562656,10.7643861,ST727,0.216,91.287,0.082,123.3,0.048,79.281,0.026,125.348,0.067,267.174,0.027,242.113,0.024,265.126,0.002,190.107
NEWCHWANG,122.1435899,40.6314368,ST727,1.168,268.727,0.327,323.5,0.186,243.382,0.1,326.543,0.328,340.471,0.26,303.056,0.078,328.129,0.037,283.711
NOSAMU,143.033,47.233,ST727,0.17,164.943,0.09,209.9,NaN,NaN,NaN,NaN,0.19,59.93,0.18,24.013,NaN,NaN,NaN,NaN
NOTU MISAKI,142.167,48.15,ST727,0.11,299.643,0.03,331.7,NaN,NaN,NaN,NaN,0.05,190.83,0.05,169.813,NaN,NaN,NaN,NaN
OLEE LHEUE,95.2964435,5.5705024,ST727,0.42,95.403,0.17,132.4,NaN,NaN,0.05,132.366,0.11,210.733,0.08,195.67,0.04,210.667,NaN,NaN
OTOMARI KO ( KORSAKOV ),142.7573814,46.6223907,ST727,0.2,177.343,0.095,216.5,0.031,148.642,0.029,207.661,0.219,59.03,0.218,38.513,0.073,54.57,0.046,19.912
PALAU MANGALUM,115.6057078,6.2102393,ST727,0.235,88.127,0.104,118,0.055,102.482,0.027,117.343,0.341,191.672,0.311,163.456,0.113,192.328,NaN,NaN
PALOH R.,109.2681158,1.7392897,ST727,0.6,234.419,0.25,276.5,NaN,NaN,0.04,276.484,0.27,236.692,0.14,183.727,0.07,226.708,NaN,NaN
PASNI,63.4815248,25.2634904,ST727,0.719,165.572,0.256,192,0.171,174.021,0.07,191.63,0.28,335.315,0.207,346.256,0.094,335.685,NaN,NaN
PIGEON ISLAND,98.2155194,11.7832101,ST727,1.192,95.603,0.597,131,0.226,87.142,0.162,130.466,0.134,224.233,0.046,206.37,0.046,224.767,NaN,NaN
PINTO GEDONG,101.2841177,2.8834772,ST727,1.216,293.547,0.604,335.1,0.219,314.537,0.162,334.498,0.128,274.749,0.052,88.798,0.043,275.351,NaN,NaN
PORT ALBERT VICTOR,71.533,20.95,ST727,0.874,275.887,0.342,299.9,0.237,250.981,0.081,293.948,0.495,354.474,0.223,355.513,0.139,351.426,0.048,358.507
PORT ALFRED (INSIDE BAR),26.9031006,-33.6039319,ST727,0.453,52.032,0.232,87,0.064,42.121,0.064,86.836,0.04,122.918,0.012,296.114,0.012,123.082,NaN,NaN
PORTO DE MOCAMBIQUE,40.7355427,-15.02916,ST727,1.147,32.232,0.606,72.4,0.195,9.421,0.157,70.736,0.093,356.118,0.071,2.114,0.032,4.982,0.014,338.903
PORTO DO CHINDE,36.4597137,-18.573452,ST727,1.09,51.132,0.57,91.4,0.11,28.221,0.15,91.236,0.03,116.518,0.04,339.314,0.01,116.682,NaN,NaN
"PULAU BESIN, MERGUI ARCH.",98.4953918,9.9857948,ST727,1.143,95.603,0.582,133,0.213,92.142,0.158,132.466,0.143,225.233,0.049,196.37,0.049,225.767,NaN,NaN
PUSSER RIVER,89.5731315,21.7143486,ST727,0.798,110.903,0.352,153.1,0.147,98.842,0.096,156.466,0.108,273.633,0.057,240.57,0.036,270.767,0.015,54.509
QUELIMANE,36.8868838,-17.8854812,ST727,1.247,59.832,0.69,102.7,0.21,46.921,0.194,100.236,0.029,8.318,0.049,0.314,0.013,2.582,0.016,343.303
QUILON,76.5851103,8.8698556,ST727,0.219,197.587,0.116,279,0.058,201.581,0.03,278.548,0.183,352.274,0.049,358.313,0.058,352.726,NaN,NaN
REVAS BANDAR,72.9476289,18.8219456,ST727,1.233,203.678,0.499,242.3,0.298,185.945,0.136,241.897,0.413,338.899,0.209,346.479,0.137,339.301,0.047,353.747
ROBE,139.7533065,-37.1591302,ST727,0.135,58.851,0.153,114.4,0.002,224.823,0.043,118.32,0.172,253.21,0.127,236.441,0.052,246.19,0.031,225.913
SAGANOSEKI,131.8717133,33.2501304,ST727,0.566,337.043,0.244,7.2,0.092,326.042,0.066,7.261,0.26,72.13,0.208,57.113,0.087,72.07,0.038,64.512
SAGANOSEKI (SITA-URA),131.890317,33.2382766,ST727,0.551,320.543,0.235,345.7,0.106,308.842,0.061,342.361,0.249,68.93,0.19,45.913,0.079,62.47,0.039,36.512
SAKAEHAMA,142.8264414,47.41549,ST727,0.2,167.343,0.09,210.4,NaN,NaN,NaN,NaN,0.18,61.23,0.18,26.213,NaN,NaN,NaN,NaN
SECOND VALLEY,138.216696,-35.5102056,ST727,0.325,186.851,0.309,246.1,0.016,279.823,0.085,247.82,0.226,266.31,0.152,248.441,0.067,259.59,0.039,233.613
SERIA,114.3310104,4.6226679,ST727,0.207,91.127,0.076,121,0.046,89.482,0.021,120.343,0.354,192.672,0.311,153.456,0.119,193.328,0.04,125.811
Shanghai,121.9727995,31.2583713,ST727,0.939,136.527,0.415,180,0.161,126.982,0.121,177.343,0.229,94.371,0.143,50.456,0.064,100.828,0.022,46.411
SIGLI,95.9695731,5.3876998,ST727,0.34,83.003,0.24,123,0.09,58.042,0.07,135.966,0.09,214.033,0.04,193.97,NaN,NaN,NaN,NaN
SINGKEL,97.8050747,2.2670695,ST727,0.22,345.403,0.12,17.4,0.04,335.442,0.03,26.366,0.1,197.233,0.05,156.17,0.03,166.167,NaN,NaN
SIOGAMAKO(SENDAI),141.0466042,38.2669326,ST727,0.34,194.243,0.155,228.2,0.043,171.342,0.043,222.461,0.243,29.03,0.195,11.713,0.078,27.57,0.042,3.312
SNAPPER ROCKS(DANGER POINT),153.5499356,-28.1613722,ST727,0.512,302.259,0.146,312.5,0.098,295.303,0.043,306.579,0.173,351.289,0.099,320.77,0.057,343.811,0.02,291.313
SONI MISAKI,141.917,46.05,ST727,0.07,225.143,0.03,255.2,NaN,NaN,NaN,NaN,0.11,133.13,0.12,109.113,NaN,NaN,NaN,NaN
"TAPA BAY, BYNOE HARBOUR",130.6,-12.45,ST727,1.646,240.751,0.914,286.8,0.274,217.823,0.244,285.82,0.579,191.41,0.335,179.441,0.183,191.39,NaN,NaN
TAPA TOEAN,97.1807115,3.251521,ST727,0.18,350.703,0.08,42.7,NaN,NaN,0.02,42.666,0.1,197.833,0.07,195.87,0.03,197.867,NaN,NaN
TARAIKA KAWA,143.3254112,49.2897007,ST727,0.23,161.343,0.11,201.4,NaN,NaN,NaN,NaN,0.16,58.73,0.17,28.713,NaN,NaN,NaN,NaN
TELLICHERRY,75.4879031,11.7440127,ST727,0.396,160.587,0.058,266,0.082,303.581,0.015,265.548,0.244,348.274,0.076,312.313,0.082,348.726,NaN,NaN
"TELOEKBETOENG, (LAMPONG B.)",105.2661362,-5.4605734,ST727,0.32,11.511,0.14,51.5,0.06,341.522,0.05,35.525,0.16,163.713,0.08,159.799,0.04,125.787,NaN,NaN
TERN ISLAND,142.7575638,-10.9988204,ST727,0.765,35.159,0.512,1,0.302,27.603,0.137,0.179,0.415,56.589,0.192,10.57,0.137,57.411,NaN,NaN
TIENTSIN ENTRANCE,117.899814,38.9600465,ST727,0.935,219.627,0.242,288.6,0.126,192.582,0.083,289.643,0.245,28.271,0.176,356.256,0.044,75.328,0.037,324.311
TIGABU ISLAND,117.4776356,6.8931401,ST727,0.334,80.127,0.177,113,0.055,52.482,0.049,112.343,0.365,199.672,0.31,168.456,0.122,200.328,NaN,NaN
TINNANPO KO,125.3668633,38.7150351,ST727,1.815,359.943,0.601,5.6,0.318,338.642,0.153,43.661,0.369,208.73,0.25,173.013,0.121,201.67,0.041,149.112
TJALANG,95.5700574,4.6355082,ST727,0.14,20.903,0.1,54.9,NaN,NaN,0.03,54.966,0.08,176.433,0.05,226.47,0.04,176.467,NaN,NaN
TOBA KO,136.8476182,34.4816159,ST727,0.533,264.143,0.245,291.4,0.09,261.042,0.07,285.161,0.226,52.23,0.174,30.213,0.078,49.37,0.04,18.312
TOBUTI KO,143.3335138,46.5081511,ST727,0.15,192.343,0.08,235.3,NaN,NaN,NaN,NaN,0.19,71.63,0.21,51.713,NaN,NaN,NaN,NaN
TOMOGA SIMA,134.9978809,34.2800947,ST727,0.388,282.543,0.198,305.4,0.04,278.142,0.057,302.061,0.253,66.13,0.187,46.913,0.084,69.17,0.04,34.912
TONOURA (HAMADA),132.0750681,34.9071111,ST727,0.082,89.443,0.04,102.1,0.019,91.242,0.01,96.261,0.069,219.73,0.084,193.313,0.024,216.97,0.02,175.912
TUKIZI TOKYO KO,139.7677511,35.6583094,ST727,0.501,242.843,0.239,273.5,0.073,238.742,0.078,263.961,0.246,44.63,0.186,26.813,0.082,41.27,0.04,13.812
TURTLE ISLAND,136.9642963,-15.5851082,ST727,0.344,121.651,0.091,193,0.067,98.823,0.024,192.22,0.396,298.11,0.32,130.541,0.131,298.89,NaN,NaN
TUTICORIN,78.2307667,8.7462202,ST727,0.202,246.687,0.143,287.7,0.025,236.681,0.039,286.748,0.091,308.874,0.036,328.813,0.023,290.826,0.01,359.807
TYUSAN PO,129.4497101,36.5127361,ST727,0.04,199.143,0.01,219.1,NaN,NaN,NaN,NaN,0.04,223.53,0.04,191.613,NaN,NaN,NaN,NaN
URUSAN WAN,129.4063998,35.467699,ST727,0.17,310.143,0.09,347.2,NaN,NaN,NaN,NaN,0.03,278.63,0.03,218.613,NaN,NaN,NaN,NaN
UYUZYUT ISLAND,141.2034387,52.8215644,ST727,0.05,120.543,0.02,243.6,NaN,NaN,NaN,NaN,0.2,245.83,0.18,196.813,NaN,NaN,NaN,NaN
WEI-HAI-WEI,122.1662275,37.497821,ST727,0.594,70.627,0.179,117.7,0.094,48.682,0.055,108.643,0.22,188.872,0.13,144.856,0.055,189.828,0.019,126.811
YOBUKO KO,129.889963,33.5480396,ST727,0.595,3.143,0.282,26.3,0.135,353.442,0.095,15.161,0.162,117.63,0.151,100.813,0.063,114.37,0.033,88.512
DART 21419  SE Kuri,155.736,44.455,Truth_Pelagic,0.208,152.22,0.089,212.84,0.026,105.04,0.024,206.6,0.268,6.24,0.212,346.24,0.087,3.2,0.043,335.81
DART 23227  Bay_Ben,88.792,6.255,Truth_Pelagic,0.148,44.46,0.064,63.15,0.034,41.44,0.017,61.86,0.064,214.77,0.026,182.04,0.018,216.02,0.007,90.5
DART 23228  Arabian,65.347,20.799,Truth_Pelagic,0.596,152.95,0.23,181.83,0.145,134.39,0.065,181.34,0.374,336.98,0.19,337.72,0.119,336.28,0.042,346.47
DART 55012  Austral,158.4,-15.799,Truth_Pelagic,0.158,282.34,0.098,265.92,0.046,284.03,0.026,259.69,0.22,35.4,0.11,10.86,0.065,31.42,0.019,351.67
DART 55023  Coral S,153.58,-14.8,Truth_Pelagic,0.28,328.35,0.162,292.8,0.088,313.81,0.043,289.81,0.261,35.82,0.129,10.22,0.078,32.2,0.023,346.13
DART_21413 (2006,152.118,30.55,Truth_Pelagic,0.112,178.34,0.07,224.22,0.008,141.92,0.02,216.67,0.142,30.3,0.115,8.8,0.045,28.27,0.024,358.13
DART_21416   (2007,163.488,48.044,Truth_Pelagic,0.195,125.93,0.064,206.71,0.039,70.2,0.017,203,0.299,346.06,0.222,327.92,0.096,343.15,0.043,318.37
DART_21418 (2007,148.694,38.711,Truth_Pelagic,0.217,178.03,0.109,223.48,0.025,147.61,0.031,217.67,0.205,21.71,0.167,3.29,0.065,21.1,0.035,352.26
DART_23401 (2006,88.54,8.905,Truth_Pelagic,0.263,63.4,0.114,89.37,0.056,57.71,0.031,88.31,0.078,227.58,0.028,200.35,0.024,228.85,0.003,131.4
DART_52401   (2007,155.766,19.286,Truth_Pelagic,0.129,123.13,0.083,159.16,0.018,108.98,0.024,152.22,0.121,53.16,0.087,26.87,0.038,51.28,0.018,15.51
DART_52402   (2006,154.584,11.569,Truth_Pelagic,0.145,120.52,0.118,147.28,0.021,130.4,0.033,140.94,0.153,61.66,0.099,38.9,0.048,60.46,0.02,27.6
DART_52403   (2006,145.597,4.033,Truth_Pelagic,0.157,291.09,0.005,194.91,0.044,261.16,0.002,123.82,0.21,65.35,0.132,49.17,0.066,64.59,0.026,40.47
DART_52404   (2006,132.223,20.949,Truth_Pelagic,0.497,288.53,0.212,313.85,0.095,277.71,0.058,308.68,0.171,73.23,0.131,56.8,0.055,71.52,0.028,44.46
