Name,Lon,Lat,Source,M2_amp,M2_phs,S2_amp,S2_phs,N2_amp,N2_phs,K2_amp,K2_phs,K1_amp,K1_phs,O1_amp,O1_phs,P1_amp,P1_phs,Q1_amp,Q1_phs
Moji,130.9594465,33.9469651,JMA,0.675,357.377,0.303,27.347,NaN,NaN,NaN,NaN,0.164,101.613,0.138,88.163,NaN,NaN,NaN,NaN
Monbetsu,143.366667,44.35,JMA,0.176,163.337,0.082,207.307,NaN,NaN,NaN,NaN,0.215,41.323,0.211,18.033,NaN,NaN,NaN,NaN
Mori,140.5923074,42.1125524,JMA,0.34,183.51,0.157,222.76,NaN,NaN,NaN,NaN,0.236,25.27,0.191,8.73,NaN,NaN,NaN,NaN
Muroran,140.9536049,42.3445763,JMA,0.334,182.89,0.155,221.48,NaN,NaN,NaN,NaN,0.235,24.78,0.191,8.27,NaN,NaN,NaN,NaN
Murotomisaki,134.1617103,33.2628634,JMA,0.494,264.847,0.218,289.377,NaN,NaN,NaN,NaN,0.221,54.423,0.17,34.383,NaN,NaN,NaN,NaN
Nagoya,136.8801304,35.0894741,JMA,0.647,263.863,0.305,289.963,NaN,NaN,NaN,NaN,0.24,50.157,0.179,29.827,NaN,NaN,NaN,NaN
Nakagusukuwanko,127.8420985,26.3249192,JMA,0.566,289.973,0.235,314.283,NaN,NaN,NaN,NaN,0.216,74.967,0.162,55.717,NaN,NaN,NaN,NaN
Nakanoshima,129.849147,29.8376928,JMA,0.587,296.27,0.255,321.55,NaN,NaN,NaN,NaN,0.233,68.72,0.18,48.84,NaN,NaN,NaN,NaN
Nanao,136.9674395,37.0511988,JMA,0.062,169.797,0.022,196.237,NaN,NaN,NaN,NaN,0.053,210.903,0.054,184.943,NaN,NaN,NaN,NaN
Naze,129.4969315,28.3852209,JMA,0.561,298.04,0.244,323.67,NaN,NaN,NaN,NaN,0.201,74.64,0.152,56.37,NaN,NaN,NaN,NaN
Nemuro,145.5790415,43.345319,JMA,0.305,173.603,0.141,218.653,NaN,NaN,NaN,NaN,0.235,27.237,0.185,0.727,NaN,NaN,NaN,NaN
Nezugaseki,139.5432408,38.5620636,JMA,0.052,173.81,0.02,206.68,NaN,NaN,NaN,NaN,0.052,211.31,0.052,185.03,NaN,NaN,NaN,NaN
Niigatahigashiko,139.2190703,37.9912815,JMA,0.059,170.387,0.022,204.547,NaN,NaN,NaN,NaN,0.055,210.303,0.054,184.243,NaN,NaN,NaN,NaN
Niihama,133.2701431,33.9842121,JMA,1.107,52.927,0.413,87.467,NaN,NaN,NaN,NaN,0.327,102.573,0.238,79.583,NaN,NaN,NaN,NaN
Nishinomiya,135.3368574,34.7211249,JMA,0.29,310.033,0.168,322.093,NaN,NaN,NaN,NaN,0.253,70.977,0.187,47.487,NaN,NaN,NaN,NaN
Nishinoomote,130.9883807,30.7354678,JMA,0.589,292.73,0.258,317.97,NaN,NaN,NaN,NaN,0.23,68.26,0.18,48.58,NaN,NaN,NaN,NaN
Noto,137.1552759,37.5009107,JMA,0.058,165.82,0.021,192.04,NaN,NaN,NaN,NaN,0.054,209.16,0.054,182.15,NaN,NaN,NaN,NaN
Oarai,140.5748263,36.3075999,JMA,0.31,203.127,0.147,235.977,NaN,NaN,NaN,NaN,0.23,30.393,0.178,11.383,NaN,NaN,NaN,NaN
Odawara,139.1492597,35.23842,JMA,0.34,227.07,0.162,254.59,NaN,NaN,NaN,NaN,0.23,35.67,0.179,17.64,NaN,NaN,NaN,NaN
Odomari,130.686498,31.0234617,JMA,0.689,291.453,0.301,316.903,NaN,NaN,NaN,NaN,0.251,64.617,0.196,44.617,NaN,NaN,NaN,NaN
Ofunato,141.7309833,39.0690417,JMA,0.306,187.25,0.141,224.05,NaN,NaN,NaN,NaN,0.234,25.47,0.186,8.85,NaN,NaN,NaN,NaN
Oga,139.7075558,39.9518917,JMA,0.051,182.19,0.02,217.38,NaN,NaN,NaN,NaN,0.054,213.93,0.053,189.42,NaN,NaN,NaN,NaN
Ogi,138.2827107,37.815294,JMA,0.056,169.553,0.02,198.473,NaN,NaN,NaN,NaN,0.053,209.447,0.054,183.947,NaN,NaN,NaN,NaN
Okinawa,127.8252501,26.1810801,JMA,0.561,289.587,0.233,313.797,NaN,NaN,NaN,NaN,0.216,74.963,0.162,55.713,NaN,NaN,NaN,NaN
Okushiri,139.4581849,42.0620218,JMA,0.053,186.793,0.022,220.593,NaN,NaN,NaN,NaN,0.048,200.647,0.045,179.447,NaN,NaN,NaN,NaN
Okushiriko,139.5208512,42.175859,JMA,0.05,184.837,0.021,219.677,NaN,NaN,NaN,NaN,0.041,204.653,0.043,187.893,NaN,NaN,NaN,NaN
Oma,140.9,41.533333,JMA,0.202,184.85,0.094,222.51,NaN,NaN,NaN,NaN,0.097,16.18,0.072,0.7,NaN,NaN,NaN,NaN
Omaezaki,138.2179866,34.6163403,JMA,0.409,249.647,0.19,275.177,NaN,NaN,NaN,NaN,0.23,47.593,0.178,26.423,NaN,NaN,NaN,NaN
Ominato,141.15,41.25,JMA,0.198,183.33,0.092,221.12,NaN,NaN,NaN,NaN,0.057,19.99,0.039,7.38,NaN,NaN,NaN,NaN
Omuta,130.4163237,33.0100635,JMA,1.488,354.197,0.661,28.687,NaN,NaN,NaN,NaN,0.286,87.643,0.218,67.663,NaN,NaN,NaN,NaN
Onahama,140.9097955,36.9384612,JMA,0.305,201.13,0.145,234.37,NaN,NaN,NaN,NaN,0.218,32.76,0.173,16.08,NaN,NaN,NaN,NaN
Onizaki,136.8207708,34.9044391,JMA,0.622,263.127,0.292,289.277,NaN,NaN,NaN,NaN,0.239,50.143,0.179,29.703,NaN,NaN,NaN,NaN
Otaru,141.0277233,43.1880485,JMA,0.048,197.45,0.022,228.36,NaN,NaN,NaN,NaN,0.052,208.62,0.054,185.37,NaN,NaN,NaN,NaN
Otoshima,133.6878115,34.5099872,JMA,1.031,57.883,0.372,91.243,NaN,NaN,NaN,NaN,0.323,102.257,0.236,78.437,NaN,NaN,NaN,NaN
Oura,130.2137269,32.9830812,JMA,1.506,356.357,0.671,31.067,NaN,NaN,NaN,NaN,0.288,88.993,0.221,68.673,NaN,NaN,NaN,NaN
Owase,136.2053618,34.0762196,JMA,0.439,257.5,0.198,281.83,NaN,NaN,NaN,NaN,0.222,49.75,0.172,29.35,NaN,NaN,NaN,NaN
Oyamanohana,130.9071454,33.9127406,JMA,0.42,9.87,0.199,38.42,NaN,NaN,NaN,NaN,0.125,140.21,0.129,122.64,NaN,NaN,NaN,NaN
Rausu,145.1984336,44.0167982,JMA,0.173,163.88,0.077,207.98,NaN,NaN,NaN,NaN,0.198,52.21,0.2,31.57,NaN,NaN,NaN,NaN
Reihoku,130.0363907,32.4681606,JMA,0.825,324.963,0.369,351.173,NaN,NaN,NaN,NaN,0.255,75.577,0.197,55.907,NaN,NaN,NaN,NaN
Rumoi,141.6348136,43.9528733,JMA,0.047,205.233,0.022,234.983,NaN,NaN,NaN,NaN,0.053,206.947,0.052,183.787,NaN,NaN,NaN,NaN
Sado,138.5177291,38.3190576,JMA,0.056,170.257,0.021,201.647,NaN,NaN,NaN,NaN,0.054,208.753,0.055,184.363,NaN,NaN,NaN,NaN
Sakai,133.2462234,35.5481844,JMA,0.056,160.34,0.021,174.77,NaN,NaN,NaN,NaN,0.049,209.76,0.046,178.2,NaN,NaN,NaN,NaN
Sanban,133.982475,34.5999293,JMA,0.592,53.093,0.185,71.833,NaN,NaN,NaN,NaN,0.302,94.517,0.224,69.917,NaN,NaN,NaN,NaN
Sasebo,129.7232116,33.1603293,JMA,0.823,340.947,0.37,6.297,NaN,NaN,NaN,NaN,0.245,84.363,0.192,64.753,NaN,NaN,NaN,NaN
Sendaishinko,141.0271383,38.2680989,JMA,0.332,192.807,0.155,227.867,NaN,NaN,NaN,NaN,0.243,28.783,0.196,12.303,NaN,NaN,NaN,NaN
Setana,139.8456011,42.4526123,JMA,0.049,189.69,0.022,223.79,NaN,NaN,NaN,NaN,0.059,200.92,0.057,171.37,NaN,NaN,NaN,NaN
Shibushi,131.0870125,31.4591754,JMA,0.559,274.787,0.244,299.397,NaN,NaN,NaN,NaN,0.225,60.813,0.175,40.543,NaN,NaN,NaN,NaN
Shimizuminato,138.5142101,35.0139079,JMA,0.395,249.357,0.185,274.587,NaN,NaN,NaN,NaN,0.212,41.923,0.157,22.123,NaN,NaN,NaN,NaN
Shimoda,138.9588511,34.6753286,JMA,0.391,241.297,0.184,267.947,NaN,NaN,NaN,NaN,0.242,42.793,0.187,23.123,NaN,NaN,NaN,NaN
Shimokita,141.2414225,41.3666992,JMA,0.287,181.123,0.133,220.073,NaN,NaN,NaN,NaN,0.199,16.177,0.152,358.537,NaN,NaN,NaN,NaN
