,Latitude,Longitude,Month,ALAN_R_(uW/m^2),Kd_R,ALAN_G_(uW/m^2),Kd_G,ALAN_B_(uW/m^2),Kd_B,Irr_(uW/m^2),Lum_(uCd/m^2)
0,29.537522404500095,34.95824735000002,1.0,41.95348915208522,0.5336374730068445,43.07253085907346,0.08186216381251812,70.77856563193409,0.07365998745650054,155.80458564309276,2.4725494384765625
1,29.537522404500095,34.95824735000002,2.0,41.95348915208522,0.533344388768673,43.07253085907346,0.0777639611196518,70.77856563193409,0.05828235419869422,,
2,29.537522404500095,34.95824735000002,3.0,41.95348915208522,0.5336330013024807,43.07253085907346,0.08180647076725961,70.77856563193409,0.07345083364784719,,
3,29.537522404500095,34.95824735000002,4.0,41.95348915208522,0.5380480974417179,43.07253085907346,0.0858959238196054,70.77856563193409,0.0804127170729527,,
4,29.537522404500095,34.95824735000002,5.0,41.95348915208522,0.5334557156307995,43.07253085907346,0.07947097300559282,70.77856563193409,0.06468364877097309,,
5,29.537522404500095,34.95824735000002,6.0,41.95348915208522,0.5332071587252616,43.07253085907346,0.07546464574977756,70.77856563193409,0.0495241594029963,,
6,29.537522404500095,34.95824735000002,7.0,41.95348915208522,0.5332505779969692,43.07253085907346,0.07620548707328736,70.77856563193409,0.05235455317743122,,
7,29.537522404500095,34.95824735000002,8.0,41.95348915208522,0.5332552198576928,43.07253085907346,0.07628468882188201,70.77856563193409,0.05265714447334409,,
8,29.537522404500095,34.95824735000002,9.0,41.95348915208522,0.5332008997905254,43.07253085907346,0.07535785267584026,70.77856563193409,0.04911615509487688,,
9,29.537522404500095,34.95824735000002,10.0,41.95348915208522,0.5334282306997478,43.07253085907346,0.07904953739613295,70.77856563193409,0.06310326523549854,,
10,29.537522404500095,34.95824735000002,11.0,41.95348915208522,0.5444467857257036,43.07253085907346,0.09464216634728209,70.77856563193409,0.10119729767852567,,
11,29.537522404500095,34.95824735000002,12.0,41.95348915208522,0.533808334608078,43.07253085907346,0.08439720925033092,70.77856563193409,0.08320654039502144,,
