,Latitude,Longitude,Month,ALAN_R_(uW/m^2),Kd_R,ALAN_G_(uW/m^2),Kd_G,ALAN_B_(uW/m^2),Kd_B,Irr_(uW/m^2),Lum_(uCd/m^2)
0,50.379180734500096,-4.191736989999981,1.0,38.98032063631038,0.6441549355797538,39.67948284063091,0.21011342733542943,68.664568716403,0.3375413657176974,147.3243721933443,2.0059711933135986
1,50.379180734500096,-4.191736989999981,2.0,38.98032063631038,0.6275803094423961,39.67948284063091,0.19033294258873332,68.664568716403,0.29749557644089464,,
2,50.379180734500096,-4.191736989999981,3.0,38.98032063631038,0.5868766856122539,39.67948284063091,0.16565186932839338,68.664568716403,0.2828319891876639,,
3,50.379180734500096,-4.191736989999981,4.0,38.98032063631038,0.5768901601875192,39.67948284063091,0.1640141928792636,68.664568716403,0.298178879499402,,
4,50.379180734500096,-4.191736989999981,5.0,38.98032063631038,0.5641078601902108,39.67948284063091,0.11986936146003217,68.664568716403,0.1577530365845073,,
5,50.379180734500096,-4.191736989999981,6.0,38.98032063631038,0.5939306851558945,39.67948284063091,0.15237671700618027,68.664568716403,0.22003122824485818,,
6,50.379180734500096,-4.191736989999981,7.0,38.98032063631038,0.5620853892809323,39.67948284063091,0.14623606946719778,68.664568716403,0.2614607792376523,,
7,50.379180734500096,-4.191736989999981,8.0,38.98032063631038,0.600584514448817,39.67948284063091,0.15416973418845717,68.664568716403,0.21341277909988074,,
8,50.379180734500096,-4.191736989999981,9.0,38.98032063631038,0.5921369610014923,39.67948284063091,0.17092991291866072,68.664568716403,0.2919544860387357,,
9,50.379180734500096,-4.191736989999981,10.0,38.98032063631038,0.6159353878762698,39.67948284063091,0.17588653912942145,68.664568716403,0.2639586875822194,,
10,50.379180734500096,-4.191736989999981,11.0,38.98032063631038,0.5733996550623288,39.67948284063091,0.1811246312857548,68.664568716403,0.36788284260729553,,
11,50.379180734500096,-4.191736989999981,12.0,38.98032063631038,0.5936929260687054,39.67948284063091,0.14505246595295698,68.664568716403,0.19199672471273801,,
