2018/1/11 9,930
2018/1/11 10,890
2018/1/11 11,800
2018/1/11 12,670
2018/1/11 13,550
2018/1/11 14,410
2018/1/11 15,330
2018/1/11 16,320
2018/1/11 17,360
2018/1/11 18,540
2018/1/11 19,730
2018/1/11 20,910
2018/1/11 21,1070
2018/1/11 22,1160
2018/1/11 23,1140
2018/1/12 0,1040
2018/1/12 1,880
2018/1/12 2,700
2018/1/12 3,580
2018/1/12 4,460
2018/1/12 5,470
2018/1/12 6,500
2018/1/12 7,600
2018/1/12 8,710
2018/1/12 9,820
2018/1/12 10,880
2018/1/12 11,860
2018/1/12 12,770
2018/1/12 13,680
2018/1/12 14,530
2018/1/12 15,390
2018/1/12 16,330
2018/1/12 17,320
2018/1/12 18,410
2018/1/12 19,620
2018/1/12 20,770
2018/1/12 21,990
2018/1/12 22,1130
2018/1/12 23,1190
2018/1/13 0,1180
2018/1/13 1,1050
2018/1/13 2,840
2018/1/13 3,700
2018/1/13 4,540
2018/1/13 5,450
2018/1/13 6,410
2018/1/13 7,450
2018/1/13 8,610
2018/1/13 9,710
2018/1/13 10,780
2018/1/13 11,860
2018/1/13 12,840
2018/1/13 13,790
2018/1/13 14,650
2018/1/13 15,510
2018/1/13 16,380
2018/1/13 17,350
2018/1/13 18,360
2018/1/13 19,480
2018/1/13 20,690
2018/1/13 21,900
2018/1/13 22,1110
2018/1/13 23,1250
2018/1/14 0,1290
2018/1/14 1,1200
2018/1/14 2,1030
2018/1/14 3,820
2018/1/14 4,610
2018/1/14 5,450
2018/1/14 6,360
2018/1/14 7,350
2018/1/14 8,470
2018/1/14 9,540
2018/1/14 10,690
2018/1/14 11,820
2018/1/14 12,840
2018/1/14 13,840
2018/1/14 14,720
2018/1/14 15,610
2018/1/14 16,470
2018/1/14 17,340
2018/1/14 18,310
2018/1/14 19,350
2018/1/14 20,520
2018/1/14 21,770
2018/1/14 22,990
2018/1/14 23,1170
2018/1/15 0,1270
2018/1/15 1,1290
2018/1/15 2,1160
2018/1/15 3,950
2018/1/15 4,720
2018/1/15 5,520
2018/1/15 6,340
2018/1/15 7,270
2018/1/15 8,290
2018/1/15 9,410
2018/1/15 10,540
2018/1/15 11,710
2018/1/15 12,810
2018/1/15 13,850
2018/1/15 14,830
2018/1/15 15,670
2018/1/15 16,530
2018/1/15 17,400
2018/1/15 18,310
2018/1/15 19,290
2018/1/15 20,410
2018/1/15 21,620
2018/1/15 22,880
2018/1/15 23,1100
2018/1/16 0,1260
2018/1/16 1,1300
2018/1/16 2,1240
2018/1/16 3,1100
2018/1/16 4,870
2018/1/16 5,620
2018/1/16 6,400
2018/1/16 7,300
2018/1/16 8,230
2018/1/16 9,340
2018/1/16 10,460
2018/1/16 11,620
2018/1/16 12,790
2018/1/16 13,880
2018/1/16 14,850
2018/1/16 15,780
2018/1/16 16,620
2018/1/16 17,450
2018/1/16 18,320
2018/1/16 19,270
2018/1/16 20,340
2018/1/16 21,500
2018/1/16 22,690
2018/1/16 23,960
2018/1/17 0,1150
2018/1/17 1,1330
2018/1/17 2,1320
2018/1/17 3,1210
2018/1/17 4,1030
2018/1/17 5,770
2018/1/17 6,550
2018/1/17 7,360
2018/1/17 8,260
2018/1/17 9,250
2018/1/17 10,350
2018/1/17 11,530
2018/1/17 12,700
2018/1/17 13,840
2018/1/17 14,850
2018/1/17 15,820
2018/1/17 16,710
2018/1/17 17,520
2018/1/17 18,370
2018/1/17 19,270
2018/1/17 20,260
2018/1/17 21,380
2018/1/17 22,560
2018/1/17 23,810
2018/1/18 0,1050
2018/1/18 1,1220
2018/1/18 2,1330
2018/1/18 3,1280
2018/1/18 4,1130
2018/1/18 5,900
2018/1/18 6,640
2018/1/18 7,410
2018/1/18 8,240
2018/1/18 9,210
2018/1/18 10,260
2018/1/18 11,430
2018/1/18 12,600
2018/1/18 13,750
2018/1/18 14,830
2018/1/18 15,820
2018/1/18 16,750
2018/1/18 17,600
2018/1/18 18,470
2018/1/18 19,330
2018/1/18 20,260
2018/1/18 21,300
2018/1/18 22,470
2018/1/18 23,690
2018/1/19 0,920
2018/1/19 1,1170
2018/1/19 2,1280
2018/1/19 3,1310
2018/1/19 4,1240
2018/1/19 5,1020
2018/1/19 6,780
2018/1/19 7,540
2018/1/19 8,290
2018/1/19 9,260
2018/1/19 10,250
2018/1/19 11,340
2018/1/19 12,500
2018/1/19 13,720
2018/1/19 14,840
2018/1/19 15,900
2018/1/19 16,860
2018/1/19 17,730
2018/1/19 18,600
2018/1/19 19,450
2018/1/19 20,350
2018/1/19 21,330
2018/1/19 22,380
2018/1/19 23,540
2018/1/20 0,800
2018/1/20 1,1010
2018/1/20 2,1200
2018/1/20 3,1300
2018/1/20 4,1260
2018/1/20 5,1160
2018/1/20 6,910
2018/1/20 7,680
2018/1/20 8,430
2018/1/20 9,280
2018/1/20 10,240
2018/1/20 11,260
2018/1/20 12,430
2018/1/20 13,580
2018/1/20 14,750
2018/1/20 15,880
2018/1/20 16,910
2018/1/20 17,840
2018/1/20 18,700
2018/1/20 19,570
2018/1/20 20,420
2018/1/20 21,360
2018/1/20 22,360
2018/1/20 23,480
2018/1/21 0,670
2018/1/21 1,890
2018/1/21 2,1050
2018/1/21 3,1230
2018/1/21 4,1240
2018/1/21 5,1210
2018/1/21 6,1050
2018/1/21 7,810
2018/1/21 8,600
2018/1/21 9,370
2018/1/21 10,260
2018/1/21 11,250
2018/1/21 12,320
2018/1/21 13,480
2018/1/21 14,670
2018/1/21 15,790
2018/1/21 16,860
2018/1/21 17,870
2018/1/21 18,780
2018/1/21 19,650
2018/1/21 20,560
2018/1/21 21,420
2018/1/21 22,390
2018/1/21 23,480
2018/1/22 0,540
2018/1/22 1,740
2018/1/22 2,940
2018/1/22 3,1090
2018/1/22 4,1210
2018/1/22 5,1210
2018/1/22 6,1080
2018/1/22 7,910
2018/1/22 8,680
2018/1/22 9,470
2018/1/22 10,330
2018/1/22 11,270
2018/1/22 12,300
2018/1/22 13,430
2018/1/22 14,610
2018/1/22 15,740
2018/1/22 16,860
2018/1/22 17,910
2018/1/22 18,890
2018/1/22 19,790
2018/1/22 20,640
2018/1/22 21,550
2018/1/22 22,450
2018/1/22 23,450
2018/1/23 0,510
2018/1/23 1,600
2018/1/23 2,750
2018/1/23 3,960
2018/1/23 4,1080
2018/1/23 5,1150
2018/1/23 6,1120
2018/1/23 7,990
2018/1/23 8,810
2018/1/23 9,610
2018/1/23 10,440
2018/1/23 11,300
2018/1/23 12,300
2018/1/23 13,350
2018/1/23 14,450
2018/1/23 15,620
2018/1/23 16,780
2018/1/23 17,870
2018/1/23 18,900
2018/1/23 19,860
2018/1/23 20,820
2018/1/23 21,660
2018/1/23 22,600
2018/1/23 23,520
2018/1/24 0,510
2018/1/24 1,540
2018/1/24 2,620
2018/1/24 3,740
2018/1/24 4,910
2018/1/24 5,980
2018/1/24 6,1060
2018/1/24 7,980
2018/1/24 8,870
2018/1/24 9,720
2018/1/24 10,530
2018/1/24 11,400
2018/1/24 12,330
2018/1/24 13,320
2018/1/24 14,400
2018/1/24 15,520
2018/1/24 16,690
2018/1/24 17,830
2018/1/24 18,880
2018/1/24 19,980
2018/1/24 20,910
2018/1/24 21,850
2018/1/24 22,730
2018/1/24 23,640
2018/1/25 0,590
