Rural Location: Cherry Springs State Park (41.6646N,77.8125W)
Wavelength(nm),Elev=0.0(log(W/m2/nm)),Elev=-1.0(log(W/m2/nm)),Elev=-2.0(log(W/m2/nm)),Elev=-3.0(log(W/m2/nm)),Elev=-4.0(log(W/m2/nm)),Elev=-5.0(log(W/m2/nm)),Elev=-6.0(log(W/m2/nm)),Elev=-7.0(log(W/m2/nm)),Elev=-8.0(log(W/m2/nm)),Elev=-9.0(log(W/m2/nm)),Elev=-10.0(log(W/m2/nm)),Elev=-11.0(log(W/m2/nm)),Elev=-12.0(log(W/m2/nm)),Elev=-13.0(log(W/m2/nm)),Elev=-14.0(log(W/m2/nm)),Elev=-15.0(log(W/m2/nm)),Elev=-16.0(log(W/m2/nm)),Elev=-17.0(log(W/m2/nm)),Elev=-18.0(log(W/m2/nm))
308,-2.968,-3.203,-3.316,-3.515,-3.739,-4.021,-4.357,-4.735,-5.266,-5.724,-6.325,-6.822,-7.201,-7.712,-7.896,-8.033,-8.242,-8.027,-8.008
309,-2.938,-3.183,-3.296,-3.510,-3.733,-4.002,-4.341,-4.715,-5.250,-5.710,-6.302,-6.811,-7.199,-7.734,-7.951,-8.056,-8.203,-8.032,-8.011
310,-2.939,-3.171,-3.288,-3.504,-3.735,-3.994,-4.321,-4.679,-5.233,-5.708,-6.287,-6.832,-7.218,-7.793,-7.988,-8.096,-8.291,-8.110,-8.107
311,-2.919,-3.155,-3.275,-3.494,-3.705,-3.971,-4.286,-4.638,-5.198,-5.679,-6.269,-6.811,-7.229,-7.777,-7.953,-8.062,-8.255,-8.065,-8.061
312,-2.885,-3.127,-3.259,-3.471,-3.670,-3.943,-4.250,-4.598,-5.141,-5.640,-6.240,-6.788,-7.230,-7.708,-7.965,-8.065,-8.239,-8.072,-8.086
313,-2.861,-3.112,-3.253,-3.448,-3.652,-3.923,-4.220,-4.572,-5.095,-5.608,-6.223,-6.773,-7.190,-7.663,-7.910,-7.976,-8.131,-7.996,-8.033
314,-2.847,-3.074,-3.232,-3.423,-3.631,-3.908,-4.184,-4.543,-5.068,-5.567,-6.205,-6.787,-7.243,-7.725,-8.007,-8.082,-8.218,-8.108,-8.117
315,-2.834,-3.031,-3.211,-3.408,-3.612,-3.879,-4.160,-4.513,-5.035,-5.532,-6.180,-6.770,-7.248,-7.728,-7.975,-8.037,-8.222,-8.098,-8.101
316,-2.806,-2.988,-3.170,-3.381,-3.597,-3.844,-4.147,-4.489,-4.986,-5.499,-6.130,-6.736,-7.173,-7.703,-7.924,-7.979,-8.149,-8.096,-8.083
317,-2.763,-2.941,-3.111,-3.320,-3.538,-3.798,-4.101,-4.442,-4.929,-5.439,-6.069,-6.645,-7.115,-7.646,-7.820,-7.952,-8.091,-8.054,-8.083
318,-2.713,-2.911,-3.067,-3.266,-3.473,-3.752,-4.044,-4.390,-4.883,-5.382,-6.004,-6.557,-7.036,-7.541,-7.771,-7.937,-8.071,-8.018,-8.025
319,-2.672,-2.874,-3.018,-3.221,-3.421,-3.706,-4.005,-4.346,-4.844,-5.334,-5.949,-6.504,-6.958,-7.494,-7.780,-7.986,-8.121,-8.106,-8.099
320,-2.627,-2.811,-2.974,-3.187,-3.389,-3.679,-3.985,-4.316,-4.814,-5.292,-5.929,-6.467,-6.891,-7.427,-7.685,-7.971,-8.081,-8.075,-8.063
321,-2.560,-2.746,-2.937,-3.152,-3.363,-3.644,-3.955,-4.280,-4.764,-5.250,-5.884,-6.439,-6.894,-7.427,-7.669,-7.989,-8.100,-8.093,-8.054
322,-2.493,-2.688,-2.872,-3.084,-3.304,-3.584,-3.900,-4.223,-4.693,-5.178,-5.807,-6.348,-6.813,-7.295,-7.542,-7.826,-7.959,-7.975,-7.919
323,-2.420,-2.614,-2.789,-3.009,-3.224,-3.508,-3.822,-4.154,-4.621,-5.100,-5.728,-6.252,-6.715,-7.208,-7.504,-7.817,-7.934,-7.947,-7.926
324,-2.395,-2.582,-2.762,-2.988,-3.202,-3.480,-3.789,-4.130,-4.598,-5.081,-5.686,-6.211,-6.658,-7.165,-7.475,-7.785,-7.921,-7.930,-7.885
325,-2.359,-2.545,-2.726,-2.951,-3.164,-3.455,-3.759,-4.094,-4.568,-5.046,-5.641,-6.183,-6.629,-7.108,-7.426,-7.751,-7.884,-7.956,-7.916
326,-2.280,-2.468,-2.648,-2.872,-3.081,-3.380,-3.686,-4.021,-4.491,-4.967,-5.562,-6.101,-6.535,-7.009,-7.351,-7.700,-7.835,-7.955,-7.888
327,-2.223,-2.396,-2.573,-2.796,-3.019,-3.308,-3.614,-3.955,-4.420,-4.895,-5.489,-6.014,-6.445,-6.927,-7.297,-7.652,-7.799,-7.885,-7.821
328,-2.195,-2.357,-2.532,-2.758,-2.983,-3.275,-3.581,-3.921,-4.388,-4.857,-5.449,-5.976,-6.412,-6.895,-7.261,-7.626,-7.790,-7.885,-7.851
329,-2.176,-2.338,-2.514,-2.736,-2.951,-3.252,-3.559,-3.899,-4.365,-4.832,-5.421,-5.953,-6.387,-6.878,-7.231,-7.633,-7.841,-7.935,-7.910
