,ALAN_(uW/m2),ALAN_(uW/m2),ALAN_(uW/m2),Lunar_(uW/m2),Lunar_(uW/m2),Lunar_(uW/m2),Solar_(uW/m2),Solar_(uW/m2),Solar_(uW/m2)
,R,G,B,R,G,B,R,G,B
0,,,,35972.651766568204,28045.687732812483,26469.57371067348,,,
