,,,,,,,,,,,,Solar position,Solar position,Solar position,Solar position,Surface Normalised,Surface Normalised,Surface Normalised,Seabed Normalised,Seabed Normalised,Seabed Normalised,Surface,Surface,Surface,Seabed,Seabed,Seabed,Residuals,Residuals,Residuals
,Location_Lat (deg),Location_Long (deg),time_increment (m),depth_to_datum(m),modelled_tidal_range (m),date,Jday (decimal),Kd Blue,Kd Green,Kd Red,Kd Bb,Solar_Alt (deg),binary_day,BB_I_(W/m2),BB_I_Below_tide_(W/m2),Red,Green,Blue,Red,Green,Blue,Red,Green,Blue,Red,Green,Blue,Red,Green,Blue
0,50.3819,-4.1927,0.25,3.2675451806267266,[4.82754518],2021-07-18 00:00:00+00:00,199.0,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-18.653137021540715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,50.3819,-4.1927,0.25,3.168239200471677,[4.7282392],2021-07-18 00:15:00+00:00,199.01041666666666,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-18.653137021540715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,50.3819,-4.1927,0.25,3.0482324062662136,[4.60823241],2021-07-18 00:30:00+00:00,199.02083333333334,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-18.653137021540715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,50.3819,-4.1927,0.25,2.9099017060738235,[4.46990171],2021-07-18 00:45:00+00:00,199.03125,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-18.653137021540715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,50.3819,-4.1927,0.25,2.7563146247399337,[4.31631462],2021-07-18 01:00:00+00:00,199.04166666666666,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-18.653137021540715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,50.3819,-4.1927,0.25,2.590758152591681,[4.15075815],2021-07-18 01:15:00+00:00,199.05208333333334,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-18.653137021540715,0.5,0.004892210019987595,0.0021173254988767526,2.6459651691863256e-05,3.5825320001643277e-05,2.0144676577310065e-05,1.1641862300355724e-05,3.51425390192026e-05,1.68561344480943e-05,0.0034169218785001744,0.003078590963084997,0.0025008771024521478,0.0007965326214631963,0.0021077261736990893,0.0012703086036243273,0.002620389257036978,0.0009708647893859079,0.0012305684988278204
6,50.3819,-4.1927,0.25,2.416293681149516,[3.97629368],2021-07-18 01:30:00+00:00,199.0625,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-18.653137021540715,0.5,0.005091453534268422,0.0023314035274908983,2.6564129634695223e-05,3.90844487239734e-05,2.0877282233011447e-05,1.2892066884736034e-05,3.933029488404684e-05,1.8284465122353074e-05,0.0034304138538610225,0.0033586589214908403,0.0025918270217739686,0.0008820712328356505,0.0023588930754579805,0.001377950171738219,0.002548342621025372,0.0009997658460328598,0.0012138768500357495
7,50.3819,-4.1927,0.25,2.235443914536024,[3.79544391],2021-07-18 01:45:00+00:00,199.07291666666666,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-18.653137021540715,0.5,0.005830739596924636,0.002830667601454464,2.8652022930386644e-05,4.7645287953278344e-05,2.384789013223938e-05,1.5393224064653306e-05,4.922988819105302e-05,2.189746936177847e-05,0.0037000382754181554,0.004094320802153814,0.0029606155325763907,0.001053199634272775,0.00295263594391583,0.0016502326683216597,0.00264683864114538,0.0011416848582379842,0.001310382864254731
8,50.3819,-4.1927,0.25,2.0500805367039376,[3.61008054],2021-07-18 02:00:00+00:00,199.08333333333334,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-18.653137021540715,0.5,0.007417615080265461,0.0038234265536109045,3.417699607730529e-05,6.418826527954612e-05,3.02501430188802e-05,2.0377802640050887e-05,6.814545113536182e-05,2.915543929403444e-05,0.004413517116473259,0.005515914817136288,0.0037554283749102533,0.0013942429602558871,0.004087125033795964,0.002197206334091975,0.0030192741562173712,0.0014287897833403238,0.0015582220408182782
9,50.3819,-4.1927,0.25,1.8615289708948337,[3.42152897],2021-07-18 02:15:00+00:00,199.09375,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-18.653137021540715,0.5,0.010799664738693232,0.005916563835054516,4.740437558384505e-05,9.721935251882439e-05,4.394047828039047e-05,3.142456873402009e-05,0.00010609838557299909,4.449048609990118e-05,0.006121662142623368,0.008354387904635571,0.005455026075027614,0.002150059283152197,0.006363408862895024,0.0033528830376956683,0.003971602859471171,0.001990979041740547,0.002102143037331946
10,50.3819,-4.1927,0.25,1.6708519447312264,[3.23085194],2021-07-18 02:30:00+00:00,199.10416666666666,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-18.653137021540715,0.5,0.016910703690417958,0.009853492193936136,7.196247987198071e-05,0.00015514354927519212,6.889794318994039e-05,5.310107299817901e-05,0.00017410032426773566,7.332637071416593e-05,0.009293023761961094,0.013332010119033974,0.00855339066221826,0.003633159007253992,0.010441926524093578,0.005526007156479629,0.005659864754707102,0.0028900835949403954,0.0030273835057386313
11,50.3819,-4.1927,0.25,1.479230139159478,[3.03923014],2021-07-18 02:45:00+00:00,199.11458333333334,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-18.653137021540715,0.5,0.03095927670723975,0.019192040734268837,0.00013150592238347016,0.0002837628228596727,0.00012704648026822405,0.00010807354523723643,0.0003274848108000757,0.00014215934486062133,0.016982289433636253,0.02438469948280173,0.015772287642870985,0.0073943585723400046,0.019641389793578885,0.010713383867346975,0.009587930861296248,0.004743309689222843,0.00505890377552401
12,50.3819,-4.1927,0.25,1.2883362523417863,[2.84833625],2021-07-18 03:00:00+00:00,199.125,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-18.653137021540715,0.5,0.057650332543322774,0.038012972269646915,0.0002426738747045426,0.0005260960876322122,0.00023866132127475456,0.00022202216278813963,0.0006243445379526297,0.00028071847956207094,0.03133819301458728,0.04520921686183431,0.029628801997709155,0.015190687777088867,0.03744599453470796,0.021155449423005436,0.016147505237498416,0.007763222327126347,0.008473352574703719
13,50.3819,-4.1927,0.25,1.1006030584580135,[2.66060306],2021-07-18 03:15:00+00:00,199.13541666666666,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-18.653137021540715,0.5,0.12758229753447556,0.08938741151840374,0.0005428489649251215,0.001153219039298188,0.0005297078819222394,0.0005519248877089703,0.0014066754015398884,0.000654399086583144,0.07010192449147859,0.09910001397553782,0.06576101173944224,0.03776253028213307,0.08436745450020627,0.049316691940865,0.03233939420934552,0.014732559475331544,0.016444319798577238
