,,,,,,,,,,,,Solar position,Solar position,Solar position,Solar position,Surface Normalised,Surface Normalised,Surface Normalised,Seabed Normalised,Seabed Normalised,Seabed Normalised,Surface,Surface,Surface,Seabed,Seabed,Seabed,Residuals,Residuals,Residuals
,Location_Lat (deg),Location_Long (deg),time_increment (m),depth_to_datum(m),modelled_tidal_range (m),date,Jday (decimal),Kd Blue,Kd Green,Kd Red,Kd Bb,Solar_Alt (deg),binary_day,BB_I_(W/m2),BB_I_Below_tide_(W/m2),Red,Green,Blue,Red,Green,Blue,Red,Green,Blue,Red,Green,Blue,Red,Green,Blue
0,50.3819,-4.1927,0.25,0.5517987388051964,[2.11179874],2021-03-17 00:00:00+00:00,76.0,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-36.0500290088376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,50.3819,-4.1927,0.25,0.30647523454530967,[1.86647523],2021-03-17 00:15:00+00:00,76.01041666666667,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-36.0500290088376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,50.3819,-4.1927,0.25,0.08218320226033682,[1.6421832],2021-03-17 00:30:00+00:00,76.02083333333333,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-36.0500290088376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,50.3819,-4.1927,0.25,0.0,[1.44448481],2021-03-17 00:45:00+00:00,76.03125,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-36.0500290088376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,50.3819,-4.1927,0.25,0.0,[1.27849148],2021-03-17 01:00:00+00:00,76.04166666666667,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-36.0500290088376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,50.3819,-4.1927,0.25,0.0,[1.14880422],2021-03-17 01:15:00+00:00,76.05208333333333,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-36.0500290088376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,50.3819,-4.1927,0.25,0.0,[1.05950384],2021-03-17 01:30:00+00:00,76.0625,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-36.0500290088376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,50.3819,-4.1927,0.25,0.0,[1.01413326],2021-03-17 01:45:00+00:00,76.07291666666667,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-36.0500290088376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,50.3819,-4.1927,0.25,0.0,[1.01561357],2021-03-17 02:00:00+00:00,76.08333333333333,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-36.0500290088376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,50.3819,-4.1927,0.25,0.0,[1.06605433],2021-03-17 02:15:00+00:00,76.09375,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-36.0500290088376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,50.3819,-4.1927,0.25,0.0,[1.16645452],2021-03-17 02:30:00+00:00,76.10416666666667,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-36.0500290088376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,50.3819,-4.1927,0.25,0.0,[1.31633269],2021-03-17 02:45:00+00:00,76.11458333333333,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-36.0500290088376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,50.3819,-4.1927,0.25,0.0,[1.51336273],2021-03-17 03:00:00+00:00,76.125,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-36.0500290088376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,50.3819,-4.1927,0.25,0.19311335926068374,[1.75311336],2021-03-17 03:15:00+00:00,76.13541666666667,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-36.0500290088376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,50.3819,-4.1927,0.25,0.4689872062346878,[2.02898721],2021-03-17 03:30:00+00:00,76.14583333333333,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-36.0500290088376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,50.3819,-4.1927,0.25,0.7724281243615256,[2.33242812],2021-03-17 03:45:00+00:00,76.15625,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-36.0500290088376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,50.3819,-4.1927,0.25,1.0934163718472,[2.65341637],2021-03-17 04:00:00+00:00,76.16666666666667,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-36.0500290088376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,50.3819,-4.1927,0.25,1.42121189868964,[2.9812119],2021-03-17 04:15:00+00:00,76.17708333333333,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-36.0500290088376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,50.3819,-4.1927,0.25,1.7452490993305285,[3.3052491],2021-03-17 04:30:00+00:00,76.1875,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-36.0500290088376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,50.3819,-4.1927,0.25,2.056046020607443,[3.61604602],2021-03-17 04:45:00+00:00,76.19791666666667,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-36.0500290088376,0.5,0.005474382759820028,0.002692571152451558,3.4363753899012374e-05,5.497157238394194e-05,2.870810653033821e-05,1.0329630073104346e-05,3.929670238490512e-05,1.6132276748016784e-05,0.0035683440403815178,0.003745492571293906,0.0027832878059701857,0.0010676459305859823,0.002664363705097094,0.0015559982593013329,0.0025006981097955355,0.001081128866196812,0.0012272895466688529
20,50.3819,-4.1927,0.25,2.3459775593842345,[3.90597756],2021-03-17 05:00:00+00:00,76.20833333333333,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-36.0500290088376,0.5,0.011130085561113183,0.004953070324601883,6.061050277424598e-05,0.00012661617479852694,5.797816979196916e-05,1.5368627543131896e-05,8.626784938604394e-05,3.0015296488272935e-05,0.006293815483448217,0.008627003404619115,0.005621058038917471,0.0015884646922486804,0.005849063989380672,0.0028950500798907756,0.004705350791199536,0.0027779394152384436,0.002726007959026695
21,50.3819,-4.1927,0.25,2.6097802248131523,[4.16978022],2021-03-17 05:15:00+00:00,76.21875,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-36.0500290088376,0.5,0.030706646788781596,0.012475806818767334,0.00016219330082260973,0.00035499114577630854,0.00016133844158274305,3.522757909338199e-05,0.00023152553327305576,7.751977192954787e-05,0.016842208219771938,0.024187350692713265,0.015641969163550807,0.0036410385654926034,0.015697709736909995,0.007476975015237156,0.013201169654279334,0.00848964095580327,0.008164994148313651
22,50.3819,-4.1927,0.25,2.8447029234809835,[4.40470292],2021-03-17 05:30:00+00:00,76.22916666666667,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-36.0500290088376,0.5,0.09417984264092093,0.035284429820708625,0.0004930555533278298,0.001079193049035455,0.0005007303693900605,9.32973431558146e-05,0.0006769861362653735,0.00022512433789444189,0.05119905847495138,0.07353090648240362,0.04854645254048677,0.009642990896077095,0.04590047461621713,0.021713802915833302,0.041556067578874284,0.027630431866186494,0.026832649624653468
23,50.3819,-4.1927,0.25,3.0502845288144322,[4.61028453],2021-03-17 05:45:00+00:00,76.23958333333333,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-36.0500290088376,0.5,0.319279553624195,0.11142506618687897,0.0018091482291564917,0.0035215417526591308,0.0016989217566159794,0.00030342369129378864,0.0021351263919341676,0.0007206755995056463,0.1878625752194926,0.2399405347542701,0.16471264670449848,0.03136114913705084,0.14476413844459138,0.06951095594672249,0.15650142608244175,0.09517639630967872,0.09520169075777599
24,50.3819,-4.1927,0.25,3.227810540964121,[4.78781054],2021-03-17 06:00:00+00:00,76.25,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-36.0500290088376,0.75,0.835568596466835,0.2742746255903837,0.004955094644383349,0.008683312203363143,0.004560524307011404,0.0007488243158637973,0.005112162393225048,0.001839819737500319,0.5145387344983829,0.5916381857293012,0.4421486899221818,0.0773966955155006,0.346610761423665,0.1774551945577467,0.43714203898288234,0.24502742430563618,0.2646934953644351
25,50.3819,-4.1927,0.25,3.379562321392862,[4.93956232],2021-03-17 06:15:00+00:00,76.26041666666667,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-36.0500290088376,0.75,1.5477049401495355,0.48211046462474566,0.00900134680290169,0.015672948863651094,0.008589933800252317,0.0012443925252995803,0.008998138254805195,0.003319787493793213,0.9347029522424968,1.067877650089239,0.8328051163899505,0.12861744382763146,0.6100846006039892,0.32020176955045127,0.8060855084148653,0.4577930494852499,0.5126033468394993
26,50.3819,-4.1927,0.25,3.508009710086059,[5.06800971],2021-03-17 06:30:00+00:00,76.27083333333333,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-36.0500290088376,1.0,[0.99423738],0.2962758799373935,0.0025196306625413782,0.0034497929204402003,0.004407412097799489,0.00032303416705179355,0.001938894814566076,0.001642580374603804,0.2616393158053802,0.23505192221471832,0.42730426455423476,0.03338804114496539,0.1314594013851701,0.15843096690987854,0.2282512746604148,0.10359252082954823,0.2688732976443562
27,50.3819,-4.1927,0.25,3.61510316999729,[5.17510317],2021-03-17 06:45:00+00:00,76.28125,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-36.0500290088376,1.0,[8.12053545],2.3320577512029264,0.02256026217698908,0.026988587729107356,0.03592418919823395,0.002716189241384929,0.014901737091439923,0.012988990568363874,2.342665394627251,1.8388696277971874,3.4828962902567464,0.2807388425086684,1.0103557051795486,1.2528204809615748,2.0619265521185826,0.8285139226176388,2.2300758092951716
28,50.3819,-4.1927,0.25,3.7017940544677734,[5.26179405],2021-03-17 07:00:00+00:00,76.29166666666667,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-36.0500290088376,1.0,[17.06517722],4.7563289037354926,0.054309586452646684,0.05498906888010175,0.06938796462951458,0.006214366160891179,0.02992929002203286,0.02448071668909091,5.6395261624620225,3.7466846964878613,6.727252305209529,0.6423020665688536,2.0292418756404382,2.3612260779841483,4.997224095893169,1.717442820847423,4.3660262272253805
29,50.3819,-4.1927,0.25,3.7678577299255713,[5.32785773],2021-03-17 07:15:00+00:00,76.30208333333333,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-36.0500290088376,1.0,[28.33131725],7.718376673084898,0.0980198218748683,0.09138848869512525,0.10479329959564469,0.010789370842920368,0.04919928728892372,0.036287641019828454,10.17841206331351,6.226762136594049,10.15984501115414,1.115163640179142,3.3357708767849745,3.500033327158613,9.063248423134368,2.8909912598090743,6.659811683995526
30,50.3819,-4.1927,0.25,3.812026562020535,[5.37202656],2021-03-17 07:30:00+00:00,76.3125,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-36.0500290088376,1.0,[41.89573613],11.241100628329708,0.1502421528502731,0.1367301489611215,0.1451930761139189,0.016114483002967816,0.0730725095220008,0.04965303111546337,15.60119689812961,9.316119859714775,14.076655241337878,1.6655545338851723,4.954404069425602,4.789158479703979,13.935642364244437,4.361715790289172,9.2874967616339
31,50.3819,-4.1927,0.25,3.8323736329692477,[5.39237363],2021-03-17 07:45:00+00:00,76.32291666666667,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-36.0500290088376,1.0,[57.25721107],15.25525614360065,0.20752620504975863,0.188953492979413,0.1914231764606936,0.021994369478210957,0.10064237051425709,0.0650871265278002,21.54959260820402,12.874361666997974,18.558722856210984,2.273285577801858,6.823673817885622,6.277815410811929,19.27630703040216,6.050687849112352,12.280907445399055
32,50.3819,-4.1927,0.25,3.8268382377865486,[5.38683824],2021-03-17 08:00:00+00:00,76.33333333333333,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-36.0500290088376,1.0,[73.81646811],19.704809540691024,0.26735030615792366,0.2456173591681236,0.24261064133872073,0.028426939446879483,0.13094328023934637,0.08262098184348853,27.76174787179521,16.735158814808948,23.52141333051938,2.9381406695771446,8.878111956541321,7.968999412686087,24.823607202218067,7.857046858267626,15.552413917833292
