,,,,,,,,,,,,Solar position,Solar position,Solar position,Solar position,Surface Normalised,Surface Normalised,Surface Normalised,Seabed Normalised,Seabed Normalised,Seabed Normalised,Surface,Surface,Surface,Seabed,Seabed,Seabed,Residuals,Residuals,Residuals
,Location_Lat (deg),Location_Long (deg),time_increment (m),depth_to_datum(m),modelled_tidal_range (m),date,Jday (decimal),Kd Blue,Kd Green,Kd Red,Kd Bb,Solar_Alt (deg),binary_day,BB_I_(W/m2),BB_I_Below_tide_(W/m2),Red,Green,Blue,Red,Green,Blue,Red,Green,Blue,Red,Green,Blue,Red,Green,Blue
0,50.3819,-4.1927,0.25,2.841752789981332,4.401752789981332,2010-12-31 00:00:00+00:00,365.0,0.3375413657176974,0.21011342733542945,0.6441549355797538,0.510772050704497,-62.47488618279266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,50.3819,-4.1927,0.25,2.9587601637945284,4.5187601637945285,2010-12-31 00:15:00+00:00,365.0104166666667,0.3375413657176974,0.21011342733542945,0.6441549355797538,0.510772050704497,-62.72407200865136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,50.3819,-4.1927,0.25,3.065348193852959,4.625348193852959,2010-12-31 00:30:00+00:00,365.0208333333333,0.3375413657176974,0.21011342733542945,0.6441549355797538,0.510772050704497,-62.6606958597895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,50.3819,-4.1927,0.25,3.1596065412344365,4.719606541234437,2010-12-31 00:45:00+00:00,365.03125,0.3375413657176974,0.21011342733542945,0.6441549355797538,0.510772050704497,-62.286995867090035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,50.3819,-4.1927,0.25,3.239285881260893,4.799285881260893,2010-12-31 01:00:00+00:00,365.0416666666667,0.3375413657176974,0.21011342733542945,0.6441549355797538,0.510772050704497,-61.61581122171691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,50.3819,-4.1927,0.25,3.302197122513457,4.862197122513457,2010-12-31 01:15:00+00:00,365.0520833333333,0.3375413657176974,0.21011342733542945,0.6441549355797538,0.510772050704497,-60.668603445004486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,50.3819,-4.1927,0.25,3.3465749121173762,4.906574912117376,2010-12-31 01:30:00+00:00,365.0625,0.3375413657176974,0.21011342733542945,0.6441549355797538,0.510772050704497,-59.47252893490503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,50.3819,-4.1927,0.25,3.3713184887753305,4.9313184887753305,2010-12-31 01:45:00+00:00,365.0729166666667,0.3375413657176974,0.21011342733542945,0.6441549355797538,0.510772050704497,-58.05739637708791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,50.3819,-4.1927,0.25,3.3760608699504586,4.936060869950459,2010-12-31 02:00:00+00:00,365.0833333333333,0.3375413657176974,0.21011342733542945,0.6441549355797538,0.510772050704497,-56.45313813661409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,50.3819,-4.1927,0.25,3.3610656179536345,4.9210656179536345,2010-12-31 02:15:00+00:00,365.09375,0.3375413657176974,0.21011342733542945,0.6441549355797538,0.510772050704497,-54.688068955330316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
