,,,,,,,,,,,,Solar position,Solar position,Solar position,Solar position,Surface Normalised,Surface Normalised,Surface Normalised,Seabed Normalised,Seabed Normalised,Seabed Normalised,Surface,Surface,Surface,Seabed,Seabed,Seabed,Residuals,Residuals,Residuals
,Location_Lat (deg),Location_Long (deg),time_increment (m),depth_to_datum(m),modelled_tidal_range (m),date,Jday (decimal),Kd Blue,Kd Green,Kd Red,Kd Bb,Solar_Alt (deg),binary_day,BB_I_(W/m2),BB_I_Below_tide_(W/m2),Red,Green,Blue,Red,Green,Blue,Red,Green,Blue,Red,Green,Blue,Red,Green,Blue
0,50.3819,-4.1927,0.25,3.393303496760953,[4.9533035],2021-07-19 00:00:00+00:00,200.0,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-19.046196451647166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,50.3819,-4.1927,0.25,3.3846956151217404,[4.94469562],2021-07-19 00:15:00+00:00,200.01041666666666,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-19.046196451647166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,50.3819,-4.1927,0.25,3.3561985576590865,[4.91619856],2021-07-19 00:30:00+00:00,200.02083333333334,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-19.046196451647166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,50.3819,-4.1927,0.25,3.3064775897207555,[4.86647759],2021-07-19 00:45:00+00:00,200.03125,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-19.046196451647166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,50.3819,-4.1927,0.25,3.235167930643031,[4.79516793],2021-07-19 01:00:00+00:00,200.04166666666666,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-19.046196451647166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,50.3819,-4.1927,0.25,3.143018021597966,[4.70301802],2021-07-19 01:15:00+00:00,200.05208333333334,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-19.046196451647166,0.5,0.0048376308610195195,0.0017513917525354252,2.64763577211107e-05,3.49692031725211e-05,1.9977745144884084e-05,4.892292401867975e-06,2.3627527759144423e-05,9.483608962633057e-06,0.0034131903926059434,0.0029995917621692208,0.002475421866145195,0.0005833330098435663,0.0018943079963050044,0.0010883196392672662,0.002829857382762377,0.0011052837658642163,0.0013871022268779286
6,50.3819,-4.1927,0.25,3.0317971842260873,[4.59179718],2021-07-19 01:30:00+00:00,200.0625,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-19.046196451647166,0.5,0.005029076112947002,0.0018873529133517843,2.6577402622855835e-05,3.814806312471083e-05,2.0689965424111166e-05,5.227774967422309e-06,2.619802909390928e-05,1.0111513572531555e-05,0.003426216560762877,0.003272268324990383,0.0025636723488660757,0.000623334309569668,0.00210039478128712,0.001160376692782604,0.002802882251193209,0.0011718735437032633,0.0014032956560834718
7,50.3819,-4.1927,0.25,2.9040036647380583,[4.46400366],2021-07-19 01:45:00+00:00,200.07291666666666,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-19.046196451647166,0.5,0.005624852107732664,0.002199971189837273,2.8117008126812684e-05,4.538099778335172e-05,2.306912044621008e-05,5.942500216213952e-06,3.1753110354544193e-05,1.1657314660739937e-05,0.003624694265659527,0.0038926957082318784,0.0028584710021645923,0.0007085546513525163,0.0025457665933283575,0.0013377696756993952,0.0029161396143070105,0.001346929114903521,0.001520701326465197
8,50.3819,-4.1927,0.25,2.76245545955346,[4.32245546],2021-07-19 02:00:00+00:00,200.08333333333334,0.2614607792376523,0.14623606946719778,0.5620853892809323,0.510772050704497,-19.046196451647166,0.5,0.007011177641680946,0.002870574743658251,3.272503131494347e-05,6.019553305991308e-05,2.8655383812335622e-05,7.4891682155857765e-06,4.299977224818844e-05,1.5026112952128428e-05,0.004218735962795715,0.0051634583777930175,0.0035506591538436725,0.0008929717763301253,0.003447453886812699,0.001724366102828986,0.0033257641864655896,0.0017160044909803186,0.0018262930510146865
