,,,,,,,,,,,,Lunar position,Lunar position,Lunar position,Lunar position,Lunar position,Lunar position,Surface Normalised,Surface Normalised,Surface Normalised,Seabed Normalised,Seabed Normalised,Seabed Normalised,Surface,Surface,Surface,Seabed,Seabed,Seabed,Residuals,Residuals,Residuals
,Location_Lat (deg),Location_Long (deg),time_increment (m),depth_to_datum(m),modelled_tidal_range (m),date,Jday (decimal),Kd Blue,Kd Green,Kd Red,Kd Bb,Lunar_Alt (deg),Lunar_Az (deg),phase,I_atmos,BB_I(uW/m2),BB_I_Below_tide(uW/m2),Red,Green,Blue,Red,Green,Blue,Red,Green,Blue,Red,Green,Blue,Red,Green,Blue
0,50.3819,-4.1927,0.25,2.841752789981332,4.401752789981332,2010-12-31 00:00:00+00:00,365.0,0.3375413657176974,0.21011342733542945,0.6441549355797538,0.510772050704497,-39.4384993824829,74.16253342886804,0.20445729011680175,25.078768038961567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,50.3819,-4.1927,0.25,2.9587601637945284,4.5187601637945285,2010-12-31 00:15:00+00:00,365.0104166666667,0.3375413657176974,0.21011342733542945,0.6441549355797538,0.510772050704497,-37.25390075589508,77.40891829252648,0.20352686062924075,24.88300833868685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,50.3819,-4.1927,0.25,3.065348193852959,4.625348193852959,2010-12-31 00:30:00+00:00,365.0208333333333,0.3375413657176974,0.21011342733542945,0.6441549355797538,0.510772050704497,-35.040183717031034,80.53212071547756,0.20259812888575357,24.68823049800621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,50.3819,-4.1927,0.25,3.1596065412344365,4.719606541234437,2010-12-31 00:45:00+00:00,365.03125,0.3375413657176974,0.21011342733542945,0.6441549355797538,0.510772050704497,-32.8048747409979,83.55000529016912,0.20167109938200317,24.494432777033833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,50.3819,-4.1927,0.25,3.239285881260893,4.799285881260893,2010-12-31 01:00:00+00:00,365.0416666666667,0.3375413657176974,0.21011342733542945,0.6441549355797538,0.510772050704497,-30.55479034478731,86.47879308240285,0.2007457765770716,24.301613425773592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,50.3819,-4.1927,0.25,3.302197122513457,4.862197122513457,2010-12-31 01:15:00+00:00,365.0520833333333,0.3375413657176974,0.21011342733542945,0.6441549355797538,0.510772050704497,-28.296173609202455,89.33320765293348,0.19982216494131344,24.109770694091047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,50.3819,-4.1927,0.25,3.3465749121173762,4.906574912117376,2010-12-31 01:30:00+00:00,365.0625,0.3375413657176974,0.21011342733542945,0.6441549355797538,0.510772050704497,-26.03481259202634,92.12663273452694,0.19890026893230317,23.91890282662896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,50.3819,-4.1927,0.25,3.3713184887753305,4.9313184887753305,2010-12-31 01:45:00+00:00,365.0729166666667,0.3375413657176974,0.21011342733542945,0.6441549355797538,0.510772050704497,-23.776142637316603,94.87126795162719,0.19798009297112973,23.729008057891132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,50.3819,-4.1927,0.25,3.3760608699504586,4.936060869950459,2010-12-31 02:00:00+00:00,365.0833333333333,0.3375413657176974,0.21011342733542945,0.6441549355797538,0.510772050704497,-21.52533470702683,97.5782747196392,0.197061641490068,23.540084622080013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,50.3819,-4.1927,0.25,3.3610656179536345,4.9210656179536345,2010-12-31 02:15:00+00:00,365.09375,0.3375413657176974,0.21011342733542945,0.6441549355797538,0.510772050704497,-19.287371768550155,100.25790808709712,0.19614491890043123,23.352130746403628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
