,,,,,,,,,,,,ALAN,ALAN,ALAN,ALAN,ALAN,Surface Normalised,Surface Normalised,Surface Normalised,Seabed Normalised,Seabed Normalised,Seabed Normalised,Surface,Surface,Surface,Seabed,Seabed,Seabed,Residuals,Residuals,Residuals
,Location_Lat (deg),Location_Long (deg),time_increment (m),depth_to_datum(m),modelled_tidal_range (m),date,Jday (decimal),Kd Blue,Kd Green,Kd Red,Kd Bb,binary_day,sky_condition,Falchi_ALAN (mCd/m^2),ALAN_Bb (uW/m^2),ALAN_BB_Below_tide(uW/m^2),Red,Green,Blue,Red,Green,Blue,Red,Green,Blue,Red,Green,Blue,Red,Green,Blue
0,50.3819,-4.1927,0.5,2.623807242562649,[4.18380724],2021-06-01 00:00:00+00:00,152.0,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,0.5,clear,2.005971193313598,147.32437219334432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,50.3819,-4.1927,0.5,2.2201070595939543,[3.78010706],2021-06-01 00:30:00+00:00,152.02083333333334,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,0.5,clear,2.005971193313598,147.32437219334432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,50.3819,-4.1927,0.5,1.771259140528187,[3.33125914],2021-06-01 01:00:00+00:00,152.04166666666666,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,0.5,clear,2.005971193313598,147.32437219334432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,50.3819,-4.1927,0.5,1.3044100016433133,[2.86441],2021-06-01 01:30:00+00:00,152.0625,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,0.5,clear,2.005971193313598,147.32437219334432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,50.3819,-4.1927,0.5,0.8585699819974493,[2.41856998],2021-06-01 02:00:00+00:00,152.08333333333334,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,0.5,clear,2.005971193313598,147.32437219334432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,50.3819,-4.1927,0.5,0.4750988910805267,[2.03509889],2021-06-01 02:30:00+00:00,152.10416666666666,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,0.5,clear,2.005971193313598,147.32437219334432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,50.3819,-4.1927,0.5,0.1880171437207836,[1.74801714],2021-06-01 03:00:00+00:00,152.125,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,0.5,clear,2.005971193313598,147.32437219334432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,50.3819,-4.1927,0.5,0.020818101931352695,[1.5808181],2021-06-01 03:30:00+00:00,152.14583333333334,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,0.75,clear,2.005971193313598,147.32437219334432,145.87626999426016,1.0,1.0,1.0,0.9877116169258888,0.9968328320648878,0.9954298425592472,38.98032063631038,39.67948284063091,68.664568716403,38.50131552397972,39.55381125489623,68.35076082676764,0.4790051123306611,0.12567158573467907,0.3138078896353562
8,50.3819,-4.1927,0.5,0.0,[1.54894099],2021-06-01 04:00:00+00:00,152.16666666666666,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,0.75,clear,2.005971193313598,147.32437219334432,147.32437219334432,1.0,1.0,1.0,1.0,1.0,1.0,38.98032063631038,39.67948284063091,68.664568716403,38.98032063631038,39.67948284063091,68.664568716403,0.0,0.0,0.0
9,50.3819,-4.1927,0.5,0.10094512915919807,[1.66094513],2021-06-01 04:30:00+00:00,152.1875,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,1.0,clear,2.005971193313598,147.32437219334432,140.43424273959545,1.0,1.0,1.0,0.9418074698673593,0.9847360065577845,0.9780337691558283,38.98032063631038,39.67948284063091,68.664568716403,36.71195715310189,39.07381547476102,67.156266949163,2.268363483208489,0.6056673658698912,1.508301767239999
10,50.3819,-4.1927,0.5,0.3532405511485559,[1.91324055],2021-06-01 05:00:00+00:00,152.20833333333334,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,1.0,clear,2.005971193313598,147.32437219334432,124.5899323975821,1.0,1.0,1.0,0.8107460526512528,0.9475973194329457,0.9252197960590529,38.98032063631038,39.67948284063091,68.664568716403,31.60314108696881,37.600171576267414,63.5298182642732,7.3771795493415695,2.079311264363497,5.1347504521297935
11,50.3819,-4.1927,0.5,0.7215113951541752,[2.2815114],2021-06-01 05:30:00+00:00,152.22916666666666,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,1.0,clear,2.005971193313598,147.32437219334432,104.61501838468659,1.0,1.0,1.0,0.6514675073426045,0.8958865093728092,0.8532053358582489,38.98032063631038,39.67948284063091,68.664568716403,25.39441232035261,35.548313375811105,58.584976413240426,13.58590831595777,4.131169464819806,10.07959230316257
12,50.3819,-4.1927,0.5,1.1583918496642531,[2.71839185],2021-06-01 06:00:00+00:00,152.25,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,1.0,clear,2.005971193313598,147.32437219334432,85.02895887582056,1.0,1.0,1.0,0.5025779810348152,0.8381887652051073,0.7750076478604419,38.98032063631038,39.67948284063091,68.664568716403,19.590650845486614,33.258896726165666,53.21556589225116,19.389669790823767,6.4205861144652445,15.449002824151833
13,50.3819,-4.1927,0.5,1.604325578303893,[3.16432558],2021-06-01 06:30:00+00:00,152.27083333333334,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,1.0,clear,2.005971193313598,147.32437219334432,68.81357092858923,1.0,1.0,1.0,0.3856372223418017,0.7831258525892902,0.7025759796769977,38.98032063631038,39.67948284063091,68.664568716403,15.032262576179548,31.074028829871192,48.24207663502536,23.948058060130833,8.605454010759718,20.422492081377634
14,50.3819,-4.1927,0.5,2.008061198450202,[3.5680612],2021-06-01 07:00:00+00:00,152.29166666666666,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,1.0,clear,2.005971193313598,147.32437219334432,56.81683240292566,1.0,1.0,1.0,0.3034163987996919,0.7364000417213887,0.642854944542244,38.98032063631038,39.67948284063091,68.664568716403,11.827268511526611,29.219972819323733,44.14135751420035,27.15305212478377,10.459510021307178,24.523211202202646
15,50.3819,-4.1927,0.5,2.3439736337239476,[3.90397363],2021-06-01 07:30:00+00:00,152.3125,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,1.0,clear,2.005971193313598,147.32437219334432,48.4458011969272,1.0,1.0,1.0,0.2485384129129501,0.699655640548222,0.5970541909480163,38.98032063631038,39.67948284063091,68.664568716403,9.688107025786499,27.761973983483806,40.99646852176646,29.29221361052388,11.917508857147105,27.668100194636537
16,50.3819,-4.1927,0.5,2.6141473919223945,[4.17414739],2021-06-01 08:00:00+00:00,152.33333333333334,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,1.0,clear,2.005971193313598,147.32437219334432,42.61690626356099,1.0,1.0,1.0,0.2116921141648713,0.6714369260581379,0.5625956800748217,38.98032063631038,39.67948284063091,68.664568716403,8.251826486325106,26.642269986089847,38.630389734049075,30.728494149985274,13.037212854541064,30.03417898235392
17,50.3819,-4.1927,0.5,2.8341455541901523,[4.39414555],2021-06-01 08:30:00+00:00,152.35416666666666,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,1.0,clear,2.005971193313598,147.32437219334432,38.392579415858506,1.0,1.0,1.0,0.1857625542548736,0.6493017040268048,0.5360110366742454,38.98032063631038,39.67948284063091,68.664568716403,7.241083927074976,25.76395582332401,36.804966660469134,31.739236709235406,13.9155270173069,31.859602055933863
18,50.3819,-4.1927,0.5,3.0136443637613017,[4.57364436],2021-06-01 09:00:00+00:00,152.375,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,1.0,clear,2.005971193313598,147.32437219334432,35.25805025801676,1.0,1.0,1.0,0.16697755750644785,0.63178304034008,0.5152537038157895,38.98032063631038,39.67948284063091,68.664568716403,6.508838730669293,25.06882430817583,35.379673352040435,32.471481905641085,14.61065853245508,33.28489536436256
19,50.3819,-4.1927,0.5,3.146276554538322,[4.70627655],2021-06-01 09:30:00+00:00,152.39583333333334,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,1.0,clear,2.005971193313598,147.32437219334432,33.10754774607092,1.0,1.0,1.0,0.15432875338015664,0.6191428285180758,0.5004342313812327,38.98032063631038,39.67948284063091,68.664568716403,6.015784290160576,24.567267240082675,34.36210066871697,32.964536346149806,15.112215600548236,34.30246804768603
20,50.3819,-4.1927,0.5,3.214584547791786,[4.77458455],2021-06-01 10:00:00+00:00,152.41666666666666,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,1.0,clear,2.005971193313598,147.32437219334432,32.051688106137654,1.0,1.0,1.0,0.14819291074967306,0.6127318730658861,0.4929690004404541,38.98032063631038,39.67948284063091,68.664568716403,5.7766071770503835,24.312883843225464,33.84950380580006,33.20371345926,15.366598997405447,34.815064910602935
21,50.3819,-4.1927,0.5,3.203487581289578,[4.76348758],2021-06-01 10:30:00+00:00,152.4375,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,1.0,clear,2.005971193313598,147.32437219334432,32.22089799606888,1.0,1.0,1.0,0.14917285063201308,0.6137688296886116,0.49417414326726034,38.98032063631038,39.67948284063091,68.664568716403,5.814805547868305,24.35402974574338,33.932254418244376,33.16551508844208,15.325453094887532,34.73231429815862
22,50.3819,-4.1927,0.5,3.1098900451284197,[4.66989005],2021-06-01 11:00:00+00:00,152.45833333333334,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,1.0,clear,2.005971193313598,147.32437219334432,33.68411310678141,1.0,1.0,1.0,0.15770026174287521,0.6225851733608387,0.5044568735774445,38.98032063631038,39.67948284063091,68.664568716403,6.147206767167347,24.703857703202623,34.638313660220255,32.833113869143034,14.975625137428288,34.02625505618274
23,50.3819,-4.1927,0.5,2.941385999765855,[4.501386],2021-06-01 11:30:00+00:00,152.47916666666666,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,1.0,clear,2.005971193313598,147.32437219334432,36.48786432584325,1.0,1.0,1.0,0.17429963820713296,0.6387777193952822,0.5235112419695437,38.98032063631038,39.67948284063091,68.664568716403,6.794255784106938,25.346369555722447,35.94667364802721,32.186064852203444,14.333113284908464,32.71789506837579
24,50.3819,-4.1927,0.5,2.707811410213505,[4.26781141],2021-06-01 12:00:00+00:00,152.5,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,1.0,clear,2.005971193313598,147.32437219334432,40.76437071904338,1.0,1.0,1.0,0.2002372658851509,0.6619220938606902,0.5511198000826217,38.98032063631038,39.67948284063091,68.664568716403,7.805312827541316,26.26472636517974,37.84240338374346,31.175007808769067,13.41475647545117,30.822165332659537
25,50.3819,-4.1927,0.5,2.415531493304563,[3.97553149],2021-06-01 12:30:00+00:00,152.52083333333334,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,1.0,clear,2.005971193313598,147.32437219334432,46.8285103172603,1.0,1.0,1.0,0.23819674793165155,0.6920682100575529,0.587727213507059,38.98032063631038,39.67948284063091,68.664568716403,9.28498560890218,27.46090866552482,40.35603563835551,29.695335027408202,12.218574175106092,28.30853307804749
26,50.3819,-4.1927,0.5,2.070599010030953,[3.63059901],2021-06-01 13:00:00+00:00,152.54166666666666,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,1.0,clear,2.005971193313598,147.32437219334432,55.15564436371818,1.0,1.0,1.0,0.29235329645476194,0.7294159895151598,0.6340696684863023,38.98032063631038,39.67948284063091,68.664568716403,11.396025234888922,28.942849239648602,43.53812032276457,27.584295401421457,10.736633600982309,25.126448393638427
27,50.3819,-4.1927,0.5,1.6874924362165848,[3.24749244],2021-06-01 13:30:00+00:00,152.5625,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,1.0,clear,2.005971193313598,147.32437219334432,66.1509445074535,1.0,1.0,1.0,0.36705134398827755,0.7732641583475689,0.6898362465517436,38.98032063631038,39.67948284063091,68.664568716403,14.307779078651716,30.682721902427264,47.367308354417716,24.672541557658665,8.996760938203646,21.29726036198528
28,50.3819,-4.1927,0.5,1.2943300282624088,[2.85433003],2021-06-01 14:00:00+00:00,152.58333333333334,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,1.0,clear,2.005971193313598,147.32437219334432,79.71761996573231,1.0,1.0,1.0,0.46359575669455333,0.821005261888427,0.752169917921941,38.98032063631038,39.67948284063091,68.664568716403,18.071111241586625,32.57706420116953,51.64742301556232,20.909209394723757,7.1024186394613835,17.01714570084068
29,50.3819,-4.1927,0.5,0.9286874036024688,[2.4886874],2021-06-01 14:30:00+00:00,152.60416666666666,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,1.0,clear,2.005971193313598,147.32437219334432,94.82037007923317,1.0,1.0,1.0,0.5760412847640047,0.8680462019494934,0.8151849735596979,38.98032063631038,39.67948284063091,68.664568716403,22.454273979853077,34.44362437512976,55.97432463356903,16.526046656457304,5.235858465501153,12.690244082833964
30,50.3819,-4.1927,0.5,0.6269837156441835,[2.18698372],2021-06-01 15:00:00+00:00,152.625,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,1.0,clear,2.005971193313598,147.32437219334432,109.4140731139943,1.0,1.0,1.0,0.689088983311876,0.908884077712256,0.8711370235076719,38.98032063631038,39.67948284063091,68.664568716403,26.860909516446057,36.064050165706114,59.81624801204531,12.119411119864324,3.615432674924797,8.84832070435769
31,50.3819,-4.1927,0.5,0.41609002390612604,[1.97609002],2021-06-01 15:30:00+00:00,152.64583333333334,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,1.0,clear,2.005971193313598,147.32437219334432,120.92933695648085,1.0,1.0,1.0,0.7810402195344597,0.9385656889778065,0.9125131350803425,38.98032063631038,39.67948284063091,68.664568716403,30.44519818730749,37.2418011505998,62.657320868344506,8.535122449002891,2.4376816900311127,6.0072478480584905
32,50.3819,-4.1927,0.5,0.3128604110088731,[1.87286041],2021-06-01 16:00:00+00:00,152.66666666666666,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,1.0,clear,2.005971193313598,147.32437219334432,127.00008554034201,1.0,1.0,1.0,0.8304252182207784,0.9534458538275399,0.9334769012921275,38.98032063631038,39.67948284063091,68.664568716403,32.37024127072396,37.83223839642056,64.09678883394822,6.610079365586422,1.8472444442103537,4.567779882454772
33,50.3819,-4.1927,0.5,0.3287887491052841,[1.88878875],2021-06-01 16:30:00+00:00,152.6875,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,1.0,clear,2.005971193313598,147.32437219334432,126.04385845123261,1.0,1.0,1.0,0.8226061663628165,0.9511345439292875,0.9302110414403841,38.98032063631038,39.67948284063091,68.664568716403,32.06545212222866,37.74052681497347,63.872539975740054,6.914868514081718,1.9389560256574399,4.792028740662943
34,50.3819,-4.1927,0.5,0.4715993512314416,[2.03159935],2021-06-01 17:00:00+00:00,152.70833333333334,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,1.0,clear,2.005971193313598,147.32437219334432,117.78580754756427,1.0,1.0,1.0,0.7557101877809036,0.9306604711323478,0.9014356819353361,38.98032063631038,39.67948284063091,68.664568716403,29.45782542782595,36.928126194749474,61.89669232566648,9.522495208484433,2.7513566458814367,6.767876390736518
35,50.3819,-4.1927,0.5,0.7389952628355725,[2.29899526],2021-06-01 17:30:00+00:00,152.72916666666666,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,1.0,clear,2.005971193313598,147.32437219334432,103.75073124737843,1.0,1.0,1.0,0.6447375380299522,0.8935029238483031,0.8499293629618085,38.98032063631038,39.67948284063091,68.664568716403,25.132075958672893,35.45373393489229,58.36003314717973,13.848244677637489,4.2257489057386195,10.304535569223269
36,50.3819,-4.1927,0.5,1.1090150767283689,[2.66901508],2021-06-01 18:00:00+00:00,152.75,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,1.0,clear,2.005971193313598,147.32437219334432,87.04460218329801,1.0,1.0,1.0,0.5175350201372212,0.8445189729460961,0.7834735711976779,38.98032063631038,39.67948284063091,68.664568716403,20.17368102546823,33.51007609560186,53.79687486698861,18.80663961084215,6.16940674502905,14.867693849414387
37,50.3819,-4.1927,0.5,1.5373922408474727,[3.09739224],2021-06-01 18:30:00+00:00,152.77083333333334,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,1.0,clear,2.005971193313598,147.32437219334432,71.03410753143048,1.0,1.0,1.0,0.4012765546318298,0.7911538872507321,0.712999683085871,38.98032063631038,39.67948284063091,68.664568716403,15.641888763382646,31.392577093463867,48.95781573402335,23.338431872927735,8.286905747167044,19.706752982379648
38,50.3819,-4.1927,0.5,1.968443725457325,[3.52844373],2021-06-01 19:00:00+00:00,152.79166666666666,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,1.0,clear,2.005971193313598,147.32437219334432,57.89498150552431,1.0,1.0,1.0,0.31064045446883765,0.7408589723633231,0.6484832589177626,38.98032063631038,39.67948284063091,68.664568716403,12.108864517804468,29.396900881217928,44.52782329339566,26.87145611850591,10.282581959412983,24.136745423007333
39,50.3819,-4.1927,0.5,2.3549221421345417,[3.91492214],2021-06-01 19:30:00+00:00,152.8125,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,1.0,clear,2.005971193313598,147.32437219334432,48.194780107669416,1.0,1.0,1.0,0.24692749662714403,0.6984893797105945,0.5956176102567863,38.98032063631038,39.67948284063091,68.664568716403,9.625312992447524,27.715697356589466,40.89782632817684,29.355007643862855,11.963785484041445,27.766742388226156
40,50.3819,-4.1927,0.5,2.6737110632947014,[4.23371106],2021-06-01 20:00:00+00:00,152.83333333333334,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,1.0,clear,2.005971193313598,147.32437219334432,41.42931379518375,1.0,1.0,1.0,0.20433406647907645,0.6653704577939858,0.5552704818728454,38.98032063631038,39.67948284063091,68.664568716403,7.965007428275562,26.401555662699195,38.1274081587482,31.01531320803482,13.277927177931716,30.537160557654794
41,50.3819,-4.1927,0.5,2.926326038550173,[4.48632604],2021-06-01 20:30:00+00:00,152.85416666666666,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,0.75,clear,2.005971193313598,147.32437219334432,36.74953292152974,1.0,1.0,1.0,0.17586566734963524,0.6402452616928049,0.5252488585016373,38.98032063631038,39.67948284063091,68.664568716403,6.855300102207483,25.4046008751349,36.06598633779791,32.1250205341029,14.27488196549601,32.59858237860509
42,50.3819,-4.1927,0.5,3.124713567408143,[4.68471357],2021-06-01 21:00:00+00:00,152.875,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,0.75,clear,2.005971193313598,147.32437219334432,33.44802354476081,1.0,1.0,1.0,0.156317939822434,0.6211804901048386,0.5028141983251198,38.98032063631038,39.67948284063091,68.664568716403,6.093323415485949,24.64812059804964,34.52552007247827,32.88699722082443,15.03136224258127,34.139048643924724
43,50.3819,-4.1927,0.5,3.2741017466981224,[4.83410175],2021-06-01 21:30:00+00:00,152.89583333333334,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,0.5,clear,2.005971193313598,147.32437219334432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,50.3819,-4.1927,0.5,3.3660214834413957,[4.92602148],2021-06-01 22:00:00+00:00,152.91666666666666,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,0.5,clear,2.005971193313598,147.32437219334432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,50.3819,-4.1927,0.5,3.3851753048148887,[4.9451753],2021-06-01 22:30:00+00:00,152.9375,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,0.5,clear,2.005971193313598,147.32437219334432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,50.3819,-4.1927,0.5,3.322129835100044,[4.88212984],2021-06-01 23:00:00+00:00,152.95833333333334,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,0.5,clear,2.005971193313598,147.32437219334432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,50.3819,-4.1927,0.5,3.180049657070168,[4.74004966],2021-06-01 23:30:00+00:00,152.97916666666666,0.22003122824485816,0.15237671700618027,0.5939306851558945,0.510772050704497,0.5,clear,2.005971193313598,147.32437219334432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
