,ALAN_(uW/m2),ALAN_(uW/m2),ALAN_(uW/m2),Lunar_(uW/m2),Lunar_(uW/m2),Lunar_(uW/m2),Solar_(uW/m2),Solar_(uW/m2),Solar_(uW/m2)
,R,G,B,R,G,B,R,G,B
0,136476.35070669255,251650.96840162016,369854.4320881187,35972.65176628121,28045.687732520913,26469.57371043833,192166.31285394632,221165.42216531644,297766.29791014607
