,,,,,,,,,,,,Lunar position,Lunar position,Lunar position,Lunar position,Lunar position,Lunar position,Surface Normalised,Surface Normalised,Surface Normalised,Seabed Normalised,Seabed Normalised,Seabed Normalised,Surface,Surface,Surface,Seabed,Seabed,Seabed,Residuals,Residuals,Residuals
,Location_Lat (deg),Location_Long (deg),time_increment (m),depth_to_datum(m),modelled_tidal_range (m),date,Jday (decimal),Kd Blue,Kd Green,Kd Red,Kd Bb,Lunar_Alt (deg),Lunar_Az (deg),phase,I_atmos,BB_I(uW/m2),BB_I_Below_tide(uW/m2),Red,Green,Blue,Red,Green,Blue,Red,Green,Blue,Red,Green,Blue,Red,Green,Blue
0,50.3819,-4.1927,0.25,1.5733625346439153,[3.13336253],2021-03-19 00:00:00+00:00,78.0,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-0.7794104915556143,300.54848982041796,0.26251318086980796,[37.60011257],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,50.3819,-4.1927,0.25,1.3542345126185515,[2.91423451],2021-03-19 00:15:00+00:00,78.01041666666667,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-2.715599885128507,303.38816649635856,0.2633765262510084,[37.81226552],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,50.3819,-4.1927,0.25,1.1358113398836625,[2.69581134],2021-03-19 00:30:00+00:00,78.02083333333333,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-4.586701070539338,306.27260835956986,0.26424081317247955,[38.02515265],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,50.3819,-4.1927,0.25,0.9209538616876904,[2.48095386],2021-03-19 00:45:00+00:00,78.03125,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-6.386899269366748,309.2065405572881,0.26510603900228974,[38.23877485],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,50.3819,-4.1927,0.25,0.713508068015698,[2.27350807],2021-03-19 01:00:00+00:00,78.04166666666667,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-8.110221228945155,312.1940910920247,0.2659722010856366,[38.45313302],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,50.3819,-4.1927,0.25,0.5182445620911054,[2.07824456],2021-03-19 01:15:00+00:00,78.05208333333333,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-9.75055147589166,315.23871138879684,0.26683929676675877,[38.66822804],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,50.3819,-4.1927,0.25,0.3405834130873271,[1.90058341],2021-03-19 01:30:00+00:00,78.0625,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-11.301660304727706,318.34308471469916,0.26770732341173653,[38.8840608],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,50.3819,-4.1927,0.25,0.18615890481680664,[1.7461589],2021-03-19 01:45:00+00:00,78.07291666666667,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-12.757244677394104,321.50902593857677,0.2685762783641459,[39.10063221],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,50.3819,-4.1927,0.25,0.060312381674309634,[1.62031238],2021-03-19 02:00:00+00:00,78.08333333333333,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-14.11098291646957,324.7373775319525,0.2694461589664278,[39.31794314],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,50.3819,-4.1927,0.25,0.0,[1.52761252],2021-03-19 02:15:00+00:00,78.09375,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-15.35660361813401,328.0279082783029,0.2703169625831266,[39.5359945],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,50.3819,-4.1927,0.25,0.0,[1.47148916],2021-03-19 02:30:00+00:00,78.10416666666667,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-16.487968512126248,331.37922265826995,0.27118868655579464,[39.75478719],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,50.3819,-4.1927,0.25,0.0,[1.45403392],2021-03-19 02:45:00+00:00,78.11458333333333,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-17.499168063788492,334.7886900688088,0.27206132822479145,[39.9743221],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,50.3819,-4.1927,0.25,0.0,[1.47597714],2021-03-19 03:00:00+00:00,78.125,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-18.384627535221888,338.2524036903292,0.272934884953016,[40.19460012],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,50.3819,-4.1927,0.25,0.0,[1.53680874],2021-03-19 03:15:00+00:00,78.13541666666667,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-19.13922002683542,341.7651785762255,0.27380935407964646,[40.41562217],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,50.3819,-4.1927,0.25,0.07498023165367496,[1.63498023],2021-03-19 03:30:00+00:00,78.14583333333333,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-19.758381838444265,345.3205971383404,0.27468473294376283,[40.63738913],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,50.3819,-4.1927,0.25,0.20811476690591824,[1.76811477],2021-03-19 03:45:00+00:00,78.15625,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-20.238224527129802,348.9111075823681,0.2755610189055936,[40.85990192],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,50.3819,-4.1927,0.25,0.3731633839705859,[1.93316338],2021-03-19 04:00:00+00:00,78.16666666666667,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-20.575637424453028,352.5281770094343,0.27643820930269686,[41.08316142],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,50.3819,-4.1927,0.25,0.5664744078007153,[2.12647441],2021-03-19 04:15:00+00:00,78.17708333333333,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-20.768374279801538,356.16249615977495,0.2773163014715381,[41.30716855],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,50.3819,-4.1927,0.25,0.7837809481611191,[2.34378095],2021-03-19 04:30:00+00:00,78.1875,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-20.815118254716513,359.80422776230046,0.2781952927710267,[41.53192421],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,50.3819,-4.1927,0.25,1.0201472737507036,[2.58014727],2021-03-19 04:45:00+00:00,78.19791666666667,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-20.715520682854674,3.4432858266123256,0.27907518053586244,[41.75742931],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,50.3819,-4.1927,0.25,1.2699379718750436,[2.82993797],2021-03-19 05:00:00+00:00,78.20833333333333,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-20.470210746869444,7.069629711164138,0.2799559621003654,[41.98368475],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,50.3819,-4.1927,0.25,1.5268770418740343,[3.08687704],2021-03-19 05:15:00+00:00,78.21875,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-20.080775338403583,10.67355511270226,0.2808376348214531,[42.21069145],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,50.3819,-4.1927,0.25,1.7842456272529215,[3.34424563],2021-03-19 05:30:00+00:00,78.22916666666667,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-19.549710563375406,14.245964476864296,0.2817201960313832,[42.4384503],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,50.3819,-4.1927,0.25,2.0352311267460554,[3.59523113],2021-03-19 05:45:00+00:00,78.23958333333333,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-18.8803483607937,17.77860166060067,0.2826036430621341,[42.66696223],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,50.3819,-4.1927,0.25,2.2733961016454276,[3.8333961],2021-03-19 06:00:00+00:00,78.25,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-18.076763286417048,21.264239647019764,0.2834879732680925,[42.89622814],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,50.3819,-4.1927,0.25,2.4931945443002994,[4.05319454],2021-03-19 06:15:00+00:00,78.26041666666667,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-17.143665489133273,24.696814964235493,0.28437318397994327,[43.12624895],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,50.3819,-4.1927,0.25,2.690437162969818,[4.25043716],2021-03-19 06:30:00+00:00,78.27083333333333,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-16.08628623324589,28.07150743440694,0.2852592725265085,[43.35702558],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,50.3819,-4.1927,0.25,2.8626044185977677,[4.42260442],2021-03-19 06:45:00+00:00,78.28125,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-14.91026204559635,31.384768378120878,0.28614623625981117,[43.58855893],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,50.3819,-4.1927,0.25,3.00892855190823,[4.56892855],2021-03-19 07:00:00+00:00,78.29166666666667,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-13.62152280847352,34.63430385839775,0.28703407250762203,[43.82084994],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,50.3819,-4.1927,0.25,3.13020978564206,[4.69020979],2021-03-19 07:15:00+00:00,78.30208333333333,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-12.226188058771452,37.81902173231287,0.28792277859712345,[44.0538995],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,50.3819,-4.1927,0.25,3.228387611360849,[4.78838761],2021-03-19 07:30:00+00:00,78.3125,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-10.730474559332434,40.938952279729854,0.28881235187702714,[44.28770856],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,50.3819,-4.1927,0.25,3.3059425654647385,[4.86594257],2021-03-19 07:45:00+00:00,78.32291666666667,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-9.14061703132601,43.99515209161239,0.28970278967267843,[44.52227803],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,50.3819,-4.1927,0.25,3.3652439311925764,[4.92524393],2021-03-19 08:00:00+00:00,78.33333333333333,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-7.462802896582059,46.98960001217322,0.29059408930832686,[44.75760883],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,50.3819,-4.1927,0.25,3.40797417714186,[4.96797418],2021-03-19 08:15:00+00:00,78.34375,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-5.703121028984664,49.92509261953064,0.29148624813053997,[44.99370189],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,50.3819,-4.1927,0.25,3.4347471845347015,[4.99474718],2021-03-19 08:30:00+00:00,78.35416666666667,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-3.86752388650933,52.80514519539868,0.29237926346172805,[45.23055814],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,50.3819,-4.1927,0.25,3.4449968031380664,[5.0049968],2021-03-19 08:45:00+00:00,78.36458333333333,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,-1.9618019935534032,55.633902590474506,0.2932731326229566,[45.4681785],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,50.3819,-4.1927,0.25,3.437153887632276,[4.99715389],2021-03-19 09:00:00+00:00,78.375,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,0.008430479800490064,58.41606306010819,0.2941678529582729,[45.70656391],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,50.3819,-4.1927,0.25,3.409066998024348,[4.969067],2021-03-19 09:15:00+00:00,78.38541666666667,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,2.0377403596785046,61.15681702717757,0.29506342178673783,[45.94571529],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,50.3819,-4.1927,0.25,3.3585689650522963,[4.91856897],2021-03-19 09:30:00+00:00,78.39583333333333,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,4.120871584166672,63.861801854926846,0.29595983642731505,[46.18563358],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,50.3819,-4.1927,0.25,3.284060887101219,[4.84406089],2021-03-19 09:45:00+00:00,78.40625,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,6.252733913950693,66.53707315389461,0.2968570942202346,[46.42631972],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,50.3819,-4.1927,0.25,3.1849839737491803,[4.74498397],2021-03-19 10:00:00+00:00,78.41666666666667,0.2828319891876639,0.16565186932839338,0.5868766856122539,0.510772050704497,8.428385163297333,69.18909279614691,0.29775519247442717,[46.66777463],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
